name,date
SAMN30000430,2022-07
SAMN30000461,2022-07
SAMN30000457,2022-07
SAMN30000513,2022-07
SAMN30000502,2022-07
SAMN30000490,2022-07
SAMN30027736,2022-07
SAMN30066834,2022-07
SAMN30066833,2022-07
SAMN30067702,2022-07
SAMN30067707,2022-07
SAMN30106550,2022-07
SAMN30106540,2022-07
SAMN03785359,2015-05
SAMN03785365,2015-06
SAMN30153678,2022-07
SAMN30168576,2022-08
SAMN30168646,2022-07
SAMN30168565,2022-07
SAMN30173679,2022-08
SAMN30173669,2022-07
SAMN30173657,2022-08
SAMN30173685,2022-08
SAMN30173695,2022-08
SAMN30242946,2022-08
SAMN30242923,2022-08
SAMN30242949,2022-08
SAMN30242947,2022-08
SAMN30242954,2022-08
SAMN30242953,2022-08
SAMN30242951,2022-08
SAMN30266197,2022-08
SAMN30266194,2022-08
SAMN30266198,2022-08
SAMN30266192,2022-08
SAMN30266202,2022-08
SAMN30266338,2022-08
SAMN30377398,2022-06
SAMN30377399,2022-06
SAMN30393371,2022-08
SAMN30393650,2022-08
SAMN30393345,2022-08
SAMN30480480,2022-08
SAMN30499802,2022-08
SAMN30480527,2022-08
SAMN30480519,2022-08
SAMN30480539,2022-08
SAMN30444085,2022-08
SAMN30480540,2022-08
SAMN30444078,2022-08
SAMN30480532,2022-08
SAMN30480543,2022-08
SAMN30480897,2022-08
SAMN30444045,2022-08
SAMN30444043,2022-08
SAMN30499806,2022-08
SAMN30480514,2022-08
SAMN30547957,2022-08
SAMN30547980,2022-08
SAMN30649584,2022-08
SAMN30649648,2022-08
SAMN30649959,2022-08
SAMN30661263,2022-08
SAMN30661273,2022-08
SAMN30661288,2022-08
SAMN30661284,2022-08
SAMN30716938,2022-08
SAMN30716907,2022-08
SAMN30728092,2022-09
SAMN30728098,2022-08
SAMN30758314,2022-09
SAMN30758329,2022-09
SAMN30758310,2022-09
SAMN30758308,2022-09
SAMN30758328,2022-09
SAMN30758318,2022-09
SAMN30789414,2022-09
SAMN30789427,2022-09
SAMN30789425,2022-09
SAMN30789458,2022-09
SAMN30789462,2022-09
SAMN30789463,2022-09
SAMN30789440,2022-09
SAMN30789466,2022-09
SAMN30789469,2022-09
SAMN30789468,2022-09
SAMN30789491,2022-09
SAMN30789495,2022-09
SAMN30789484,2022-09
