name,date
SAMEA5612036,2016-06-07
SAMEA5612046,2016-06-08
SAMD00049928,2015-10
SAMD00049923,2015-10
SAMD00049924,2015-10
SAMEA5618974,2004-01-14
SAMEA5619032,2004-01-22
SAMEA5619068,2007-06-01
SAMD00065691,2014-03-11
SAMD00065696,2014-03-11
SAMD00065699,2014-03-11
SAMD00065700,2014-03-11
SAMD00065701,2014-03-11
SAMD00065704,2014-03-11
SAMD00065707,2014-03-11
SAMD00065708,2014-03-11
SAMD00065709,2014-03-11
SAMD00065710,2014-03-11
SAMD00065712,2014-03-11
SAMD00065713,2014-03-11
SAMD00065714,2014-03-11
SAMD00065715,2014-03-11
SAMD00065716,2014-03-11
SAMD00065718,2014-03-11
SAMD00065724,2014-03-11
SAMD00065730,2014-03-11
SAMD00065731,2014-03-11
SAMD00065733,2014-03-11
SAMD00065737,2014-03-11
SAMD00065741,2014-03-11
SAMD00065742,2014-03-11
SAMD00065746,2014-03-11
SAMD00065748,2014-03-11
SAMD00065756,2016-03-14
SAMD00065758,2016-03-14
SAMD00065759,2016-03-14
SAMD00065760,2016-03-14
SAMD00065960,2015-03-06
SAMD00065965,2015-03-06
SAMD00065969,2015-03-06
SAMD00065971,2015-03-06
SAMD00065975,2015-03-06
SAMD00065980,2015-01-23
SAMD00065981,2015-01-23
SAMD00065984,2015-01-23
SAMD00065985,2015-01-23
SAMD00065989,2015-01-23
SAMD00065990,2015-01-23
SAMD00065991,2015-01-23
SAMD00065993,2015-01-23
SAMD00065995,2015-01-23
SAMD00065999,2015-01-23
SAMD00066000,2015-01-23
SAMD00065694,2014-03-11
SAMD00065695,2014-03-11
SAMD00065698,2014-03-11
SAMD00065703,2014-03-11
SAMD00065717,2014-03-11
SAMD00065721,2014-03-11
SAMD00065723,2014-03-11
SAMD00065725,2014-03-11
SAMD00065727,2014-03-11
SAMD00065728,2014-03-11
SAMD00065729,2014-03-11
SAMD00065732,2014-03-11
SAMD00065739,2014-03-11
SAMD00065744,2014-03-11
SAMD00065754,2016-03-14
SAMD00065959,2015-03-06
SAMD00065961,2015-03-06
SAMD00065966,2015-03-06
SAMD00065967,2015-03-06
SAMD00065968,2015-03-06
SAMD00065972,2015-03-06
SAMD00065973,2015-03-06
SAMD00065978,2015-03-06
SAMD00065982,2015-01-23
SAMD00065987,2015-01-23
SAMD00065994,2015-01-23
SAMD00065996,2015-01-23
SAMD00071286,2015-12-21
SAMD00071288,2015-12-21
SAMD00071291,2015-12-21
SAMD00071296,2015-12-21
SAMD00071299,2015-12-21
SAMD00071305,2015-12-21
SAMD00071306,2015-12-21
SAMD00071308,2015-12-21
SAMD00071309,2015-12-21
SAMD00071311,2015-12-21
SAMD00071314,2015-12-21
SAMD00071317,2015-12-21
SAMD00071319,2014-04-04
SAMD00071290,2015-12-21
SAMD00071293,2015-12-21
SAMD00071294,2015-12-21
SAMD00071295,2015-12-21
SAMD00071302,2015-12-21
SAMD00071304,2015-12-21
SAMD00071312,2015-12-21
SAMD00071315,2015-12-21
SAMD00078321,2016-06-24
SAMD00078323,2016-06-24
SAMD00078325,2017-02-10
SAMD00078327,2017-02-07
SAMD00078328,2017-02-07
SAMD00078334,2016-06-24
SAMEA4645084,2015-02
SAMD00126507,2016-12-15
SAMD00157544,2018-03
SAMN16364011,2019-09
SAMN16364040,2019-10
SAMN16377217,2020-08-25
SAMD00194506,2017-07-10
SAMD00194372,2018-08-06
SAMD00194379,2019-02-05
SAMD00194541,2019-02-05
SAMN18230438,2021-02
SAMD00220393,2017-11-12
SAMD00220563,2017-10-25
SAMD00241775,2017-12-22
SAMD00241776,2017-12-22
SAMD00241782,2017-12-22
SAMD00241777,2017-11-13
SAMD00241778,2017-11-13
SAMD00241779,2017-11-13
SAMD00241781,2017-11-13
SAMN20054826,2021-06
SAMN20550929,2020-09
SAMN20602973,2019-08
SAMN20602952,2019-07
SAMN20602951,2019-07
SAMN20603022,2019-06
SAMN20606743,2019-05
SAMN20606717,2019-01
SAMN20606807,2019-05
SAMN20665793,2019-03
SAMN21217573,2019-03-26
SAMD00499319,2019-04-05
SAMN21899642,2017-07-11
SAMD00499968,2019-08-21
SAMN22443152,2019-05-29
SAMD00532218,2013-04-09
SAMD00532256,2014-10-15
SAMD00532263,2015-01-06
SAMN22657102,2021-10
SAMD00613460,2018-01-17
SAMN22985681,2021-08-06
SAMD00532216,2013-04-09
SAMD00532217,2013-04-09
SAMN23135579,2021-10
SAMN23135574,2021-10
SAMN23844025,2018-05-29
SAMN23894253,2021-08-04
SAMD00613458,2018-08-28
SAMN24286919,2021-12
SAMN24019027,2016-05-08
SAMN24019526,2015-06-03
SAMN24020838,2015-12-01
SAMN24020352,2014-08-11
SAMN24300389,2020-12-27
SAMN03268730,2013-09-24
SAMN24387248,2021-12
SAMN24405081,2021-12
SAMN25039526,2019-04-16
SAMN26235908,2021-11
SAMN26258945,2020-11
SAMN26258944,2020-11
SAMN26258941,2020-11
SAMN24526497,2021-02
SAMN26365914,1985-01-01
SAMN26442320,2021-12
SAMN26430918,2016-09-23
SAMN26430915,2016-09-23
SAMN26430912,2016-09-23
SAMN26430909,2016-09-23
SAMN26430907,2016-09-23
SAMN26430906,2016-09-23
SAMN26430905,2016-09-23
SAMN26430904,2016-09-23
SAMN26430902,2016-09-23
SAMN26430901,2016-09-23
SAMN26430829,2016-09-23
SAMN26430899,2016-09-23
SAMN26430897,2016-09-23
SAMN26430890,2016-09-23
SAMN26430886,2016-09-23
SAMN26430885,2016-09-23
SAMN26430883,2016-09-23
SAMN26430882,2016-09-23
SAMN26430827,2016-09-23
SAMN26430878,2016-09-23
SAMN26430877,2016-09-23
SAMN26430845,2016-09-23
SAMN26430843,2016-09-23
SAMN26430842,2016-09-23
SAMN26430823,2016-09-23
SAMN26430836,2016-09-23
SAMN26430938,2016-09-23
SAMN26430934,2016-09-23
SAMN26430931,2016-09-23
SAMN26430928,2016-09-23
SAMN26430927,2016-09-23
SAMN26430874,2016-09-23
SAMN26430872,2016-09-23
SAMN26430869,2016-09-23
SAMN26430868,2016-09-23
SAMN26430865,2016-09-23
SAMN26430864,2016-09-23
SAMN26430854,2016-09-23
SAMN26430852,2016-09-23
SAMN26430851,2016-09-23
SAMN26430848,2016-09-23
SAMN26430831,2016-09-23
SAMN26430822,2016-09-23
SAMN26430821,2016-09-23
SAMN26451379,2016-09-23
SAMN26451441,2016-09-23
SAMN26451439,2016-09-23
SAMN26451438,2016-09-23
SAMN26451435,2016-09-23
SAMN26451378,2016-09-23
SAMN26451431,2016-09-23
SAMN26451423,2016-09-23
SAMN26451422,2016-09-23
SAMN26451421,2016-09-23
SAMN26451420,2016-09-23
SAMN26451419,2016-09-23
SAMN26451418,2016-09-23
SAMN26451466,2016-09-23
SAMN26451465,2016-09-23
SAMN26451464,2016-09-23
SAMN26451460,2016-09-23
SAMN26451452,2016-09-23
SAMN26451380,2016-09-23
SAMN26451447,2016-09-23
SAMN26451444,2016-09-23
SAMN26451388,2016-09-23
SAMN26451387,2016-09-23
SAMN26451386,2016-09-23
SAMN26451385,2016-09-23
SAMN26451384,2016-09-23
SAMN26451491,2016-09-23
SAMN26451490,2016-09-23
SAMN26451483,2016-09-23
SAMN26451383,2016-09-23
SAMN26451474,2016-09-23
SAMN26451470,2016-09-23
SAMN26451376,2016-09-23
SAMN26451410,2016-09-23
SAMN26451407,2016-09-23
SAMN26451401,2016-09-23
SAMN26451399,2016-09-23
SAMN26451398,2016-09-23
SAMN26451382,2016-09-23
SAMN26451373,2016-09-23
SAMN26508432,2022-02
SAMN26553891,2019-01
SAMEA3357438,2014-02
SAMEA3357527,2014-03
SAMN25653023,2019-09-02
SAMN25653019,2019-09-02
SAMN25653018,2019-09-02
SAMN26565656,2018-08-21
SAMN26565654,2018-08-21
SAMN26565650,2019-09-02
SAMN25653016,2019-09-02
SAMN25653027,2019-09-02
SAMN25653025,2019-09-02
SAMN25653015,2019-09-02
SAMN25653014,2019-09-02
SAMN26565670,2018-08-21
SAMN26565662,2018-08-21
SAMN26565671,2018-08-21
SAMN26565660,2018-08-21
SAMN26929583,2022-01-01
SAMN27155472,2020-01-10
SAMN27155469,2020-01-10
SAMN27155492,2020-01-10
SAMN27155485,2020-01-10
SAMN27155481,2020-01-10
SAMN27155480,2020-01-10
SAMN27155474,2020-01-10
SAMN27155473,2020-01-10
SAMN27150463,2018-09-24
SAMEA111505550,2020-11-14
SAMEA111505600,2020-11-18
SAMEA111505623,2020-11-21
SAMEA111505615,2020-11-20
SAMEA111505944,2020-03-05
SAMEA111506058,2020-08-13
SAMN27295215,2018-01-01
SAMEA111506294,2020-11-25
SAMEA111506375,2020-12-10
SAMEA111503362,2020-06-03
SAMEA111505647,2020-11-24
SAMN27404410,2018-04-30
SAMEA111504711,2020-05-16
SAMEA111505063,2020-04-16
SAMEA111504386,2020-03-02
SAMN27505538,2022-03
SAMEA111504655,2020-05-29
SAMEA111504755,2020-10-30
SAMEA111506293,2020-11-25
SAMEA111503744,2020-05-13
SAMEA111503746,2020-05-27
SAMEA111504136,2020-04-07
SAMN27568503,2018-08
SAMEA6658636,2016-03-25
SAMN27670326,2019-01-01
SAMN27765564,2022-04
SAMN27765565,2022-04
SAMEA111324441,2019-06
SAMN26797406,2009-08-03
SAMN26797405,2005-04-26
SAMN26797403,2006-07-04
SAMN26797402,2017-02-02
SAMN26797400,2014-03-19
SAMN26797399,2016-10-13
SAMN26797398,2014-09-15
SAMN27960790,2021-08-06
SAMN28014563,2022-04
SAMN28053261,2019-10-09
SAMEA112330326,2022-01-01
SAMN28194712,2022-05
SAMN28194742,2022-05
SAMN28206988,2019-01-01
SAMN28405008,2015.2079
SAMN28495392,2022-01
SAMN03443371,2012-12-01
SAMN28565444,2022-05
SAMN28577700,2022-05
SAMN28613762,2017-08-28
SAMN28701875,2022-05
SAMN28701871,2022-05
SAMN28743517,2019-08-25
SAMN28744617,2019-04-04
SAMN28743701,2018-06-23
SAMN28687637,2006-05-22
SAMN28687589,2006-08-14
SAMN28687540,2006-07-17
SAMN28843302,2022-05
SAMEA112824920,2021-08-23
SAMN28668344,2020-01-14
SAMN28669028,2018-03-05
SAMN28669164,2018-05-23
SAMN28669084,2018-04-16
SAMEA112825026,2021-11-01
SAMN26896001,2016-10-05
SAMN28944860,2022-05
SAMEA112938156,2020-09
SAMEA112957332,2019-12
SAMEA112953628,2018-07
SAMEA112953701,2019-12
SAMN29145090,2022-05-06
SAMN29151215,2022-04-25
SAMN29151345,2022-06
SAMN29145251,2020-05-07
SAMN29145265,2020-03-12
SAMN29185951,2020-08-20
SAMN29185949,2020-08-20
SAMN29185955,2020-08-20
SAMN29209737,2022-03
SAMEA113542910,2019-04
SAMEA113542921,2019-04
SAMEA113542925,2019-04
SAMN29251682,2022-06
SAMN29358443,2022-06
SAMN29358463,2022-06
SAMN29390545,2020-02-12
SAMN29390542,2020-02-12
SAMN29390540,2020-02-12
SAMN29390535,2020-02-12
SAMN29390481,2019-07-13
SAMN29390534,2020-02-12
SAMN29390526,2020-02-12
SAMN29390525,2020-02-12
SAMN29390521,2019-07-26
SAMN29390518,2019-07-26
SAMN29390514,2019-07-26
SAMN29390513,2019-07-26
SAMN29390511,2019-07-26
SAMN29390508,2019-07-26
SAMN29390505,2019-07-26
SAMN29390499,2019-07-13
SAMN29390497,2019-07-13
SAMN29390489,2019-07-13
SAMN29390486,2019-07-13
SAMN29390485,2019-07-13
SAMN24647660,2021-11
SAMN29403422,2021-12
SAMN29474250,2022-06
SAMN29492309,2020-06-10
SAMN29492308,2020-05-25
SAMN29492306,2020-04-14
SAMN29492304,2020-04-01
SAMN29492318,2020-11-06
SAMN29492316,2020-08-24
SAMN29492312,2020-06-16
SAMN29492303,2020-03-24
SAMEA113542912,2019-04
SAMN29503070,2021-08-03
SAMN29506812,2022-05-11
SAMN29542814,2022-06
SAMN29631916,2018-01-18
SAMN29631915,2018-01-17
SAMN29631921,2018-01-23
SAMN29662195,2022-06
SAMN02991194,2012-04
SAMN29642031,2005-11-15
SAMN29642122,2018-01-24
SAMN29642111,2015-11-15
SAMN29768543,2022-07
SAMN29770908,2021-11-05
SAMN29905400,2022-07
SAMN03757669,2015-04
SAMN29963727,2019-07-01
SAMN29963749,2019-11-01
SAMN29963702,2019-11-01
SAMN29963711,2019-03-01
SAMN29963751,2019-06-01
SAMN29963756,2019-04-01
SAMN30027771,2022-07
SAMN30002569,2020-05
SAMN30050209,2022-04-01
SAMN30153679,2022-07
SAMN02463290,2009-12-01
SAMN30173673,2022-08
SAMN03755591,2015-02
SAMN30242911,2022-08
SAMN27524778,2014-07-31
SAMN27525027,2016-07-31
SAMN27525006,2015-07-31
SAMN27524779,2014-07-31
SAMN27524975,2016-07-31
SAMN27524994,2016-07-31
SAMN30413785,2022-08
SAMN30444067,2022-08
SAMN30480528,2022-08
SAMN30499780,2022-08
SAMN30499784,2022-08
SAMN28512383,2020-01-15
SAMN02463300,2009-10-01
SAMN30649546,2022-08
SAMN30697618,2022-04-01
SAMN30728101,2022-08
SAMN30728188,2022-09
SAMN30728197,2022-09
SAMN30758131,2022-09
SAMN30899968,2022-09
SAMN30900012,2022-09
SAMN30900007,2022-09
SAMN30914832,2022-09
SAMN30964276,2022-09
SAMN31036949,2019-12-13
SAMN31036948,2019-12-13
SAMN31036947,2019-12-13
SAMN31036945,2019-12-13
SAMN31036941,2019-12-13
SAMN31036873,2019-12-13
SAMN31036930,2019-12-13
SAMN31036929,2019-12-13
SAMN31036925,2019-12-13
SAMN31036921,2019-12-13
SAMN31036915,2019-12-13
SAMN31036913,2019-12-13
SAMN31036909,2019-12-13
SAMN31036960,2019-12-13
SAMN31036955,2019-12-13
SAMN31036901,2019-12-13
SAMN31036892,2019-12-13
SAMN31036889,2019-12-13
SAMN31036888,2019-12-13
SAMN31036886,2019-12-13
SAMN31036876,2019-12-13
SAMN26305284,2019-11-13
SAMN26304701,2019-10-28
SAMN26304918,2019-10-24
SAMN26309370,2019-11-02
SAMN26305275,2019-12-10
SAMN26308388,2019-12-04
SAMN26304508,2019-11-25
SAMN26308387,2019-12-02
SAMN26305103,2020-01-14
SAMN26304468,2020-02-11
SAMN26309392,2020-01-22
SAMN26305301,2020-04-17
SAMN26305175,2020-02-15
SAMN26304692,2020-06-16
SAMN26304676,2020-08-12
SAMN26304695,2020-09-01
SAMN31141279,2022-09
SAMN31284770,2021-08-23
SAMN31284769,2021-08-23
SAMN31284840,2021-10-04
SAMN31141354,2022-09
SAMN31141382,2022-09
SAMN31186866,2022-09
SAMN31186975,2022-09
SAMN31110780,2022-09
SAMN31141276,2022-09
SAMN31141297,2022-09
SAMN31327315,2012-09-20
SAMN31327447,2014-06-02
SAMN31327454,2014-11-03
SAMN31327424,2014-01-23
SAMN31327405,2013-09-26
SAMN31327286,2012-08-21
SAMN31327335,2012-12-16
SAMN31327345,2013-01-29
SAMN31327323,2012-11-26
SAMN31327308,2012-09-20
SAMN31327290,2012-08-15
SAMN31327289,2012-07-18
SAMN31349978,2019-04-19
SAMN31349915,2019-08-19
SAMN31350200,2019-10-09
SAMN31349809,2019-05-27
SAMN28667947,2020-09-17
SAMN28667721,2020-09-17
SAMN28667702,2020-08-27
SAMN28667696,2020-08-27
SAMN31560769,2022-10
SAMN31592353,2022-10
SAMN31592348,2020-03-02
SAMN31592400,2022-10
SAMN31671774,2022-10
SAMN31714885,2022-11
SAMN31812060,2022-09
SAMN03177636,2011-12-16
SAMN03177678,2012-01-30
SAMN31881557,2022-11
SAMN31896420,2022-11
SAMN31948280,2022-11
SAMN31988519,2019-09-01
SAMN31988511,2019-09-01
SAMN32112424,2021-06-01
SAMN32112427,2021-06-01
SAMN32112420,2021-06-07
SAMN32112418,2021-06-07
SAMN32112426,2021-06-01
SAMN32112411,2021-05-03
SAMN32112414,2021-06-07
SAMN32132017,2022-11
SAMN32235066,2022-11-04
SAMN32277585,2022-12
SAMN32247284,2021-03-25
SAMN32247479,2020-02-01
SAMN32247478,2021-04-01
SAMN32247430,2019-09-01
SAMN32247428,2021-04-01
SAMN32247476,2019-11-01
SAMN32247416,2021-04-29
SAMN32247348,2020-01-01
SAMN32247532,2021-04-01
SAMN32247524,2020-01-01
SAMN32247288,2021-04-01
SAMN32247452,2021-07-12
SAMN32247274,2021-02-23
SAMN32247380,2021-03-16
SAMN32247263,2020-02-01
SAMN32247351,2019-09-01
SAMN32247335,2020-01-01
SAMN32247320,2021-02-03
SAMN32298719,2022-12
SAMN32301218,2022-12
SAMN32301222,2022-12
SAMN32301230,2022-12
SAMN32301237,2022-12
SAMD00065692,2014-03-11
SAMD00065693,2014-03-11
SAMD00065697,2014-03-11
SAMD00065702,2014-03-11
SAMD00065706,2014-03-11
SAMD00065711,2014-03-11
SAMD00065719,2014-03-11
SAMD00065720,2014-03-11
SAMD00065722,2014-03-11
SAMD00065726,2014-03-11
SAMD00065734,2014-03-11
SAMD00065735,2014-03-11
SAMD00065736,2014-03-11
SAMD00065738,2014-03-11
SAMD00065740,2014-03-11
SAMD00065743,2014-03-11
SAMD00065745,2014-03-11
SAMD00065747,2014-03-11
SAMD00065755,2016-03-14
SAMD00065757,2016-03-14
SAMD00065962,2015-03-06
SAMD00065963,2015-03-06
SAMD00065964,2015-03-06
SAMD00065970,2015-03-06
SAMD00065974,2015-03-06
SAMD00065976,2015-03-06
SAMD00065977,2015-03-06
SAMD00065979,2015-03-06
SAMD00065983,2015-01-23
SAMD00065986,2015-01-23
SAMD00065988,2015-01-23
SAMD00065992,2015-01-23
SAMD00065997,2015-01-23
SAMD00065998,2015-01-23
SAMD00071284,2015-12-21
SAMD00071285,2015-12-21
SAMD00071287,2015-12-21
SAMD00071289,2015-12-21
SAMD00071292,2015-12-21
SAMD00071297,2015-12-21
SAMD00071298,2015-12-21
SAMD00071300,2015-12-21
SAMD00071301,2015-12-21
SAMD00071303,2015-12-21
SAMD00071307,2015-12-21
SAMD00071310,2015-12-21
SAMD00071313,2015-12-21
SAMD00071316,2015-12-21
SAMD00071318,2014-04-04
SAMD00078320,2016-06-24
SAMD00078322,2016-06-24
SAMD00078329,2017-02-07
SAMD00078332,2017-02-21
SAMD00078333,2017-02-21
SAMD00194555,2017-07-10
SAMD00220382,2017-11-12
SAMD00220445,2017-11-12
SAMD00241774,2017-12-22
SAMD00241780,2017-12-22
SAMD00241783,2017-11-13
SAMEA104107475,2015-06-02
SAMEA104107489,2015-01-14
SAMEA104107493,2015-04-16
SAMEA104107505,2015-02-17
SAMEA104107524,2015-06-10
SAMEA104107530,2015-11-12
SAMD00532215,2013-04-09
SAMEA104107452,2015-03-20
SAMEA104107459,2015-08-14
SAMEA104107465,2015-12-04
SAMEA104107508,2015-06-09
SAMEA104107526,2015-07-30
SAMD00613457,2018-01-17
SAMD00613466,2018-08-28
SAMD00613469,2018-01-17
SAMEA104437651,2014-01-01
SAMEA104437654,2014-01-01
SAMEA104437751,2016-01-01
SAMEA4699317,2011-11-12
SAMEA111505352,2020-09-09
SAMEA111505605,2020-11-19
SAMEA111505652,2020-11-25
SAMEA111505997,2020-03-03
SAMEA111504584,2020-03-04
SAMEA111505065,2020-04-21
SAMEA111505087,2020-11-02
SAMEA111504008,2020-02-24
SAMEA111324416,2019-06
SAMEA111324418,2019-06
SAMEA5206502,2018-05-23
SAMEA112330315,2022-01-01
SAMEA5226285,2016-08-02
SAMEA5553661,2010-10-15
SAMEA5610485,2015-10-05
SAMEA5610505,2015-10-27
SAMEA5610524,2015-10-26
SAMEA5610564,2015-11-16
SAMEA5610605,2015-11-24
SAMEA5610620,2015-11-30
SAMEA5610696,2016-05-23
SAMEA5610732,2016-08-15
SAMEA5610747,2016-08-15
SAMEA5610845,2016-01-27
SAMEA5610858,2016-01-12
SAMEA5610859,2016-01-12
SAMEA5610876,2016-01-12
SAMEA5610891,2016-01-11
SAMEA5610988,2016-03-09
SAMEA5611027,2016-04-04
SAMEA5611055,2016-04-05
SAMEA5611084,2016-04-06
SAMEA5611091,2016-04-06
SAMEA5611141,2016-04-26
SAMEA5611164,2016-05-03
SAMEA5611184,2016-05-05
SAMEA5611210,2016-05-11
SAMEA5611239,2016-07-05
SAMEA5611266,2016-10-05
SAMEA5611361,2016-08-09
SAMEA5611418,2016-09-05
SAMEA5611430,2016-09-06
SAMEA5611431,2016-09-06
SAMEA5611492,2015-08-31
SAMEA5611609,2015-11-24
SAMEA5611652,2015-11-02
SAMEA5611727,2015-11-10
SAMEA5611811,2016-07-11
SAMEA5611813,2016-07-11
SAMEA5611929,2016-07-13
SAMEA5611937,2016-08-09
SAMEA5611968,2016-09-21
SAMEA5611993,2016-09-27
SAMEA5618975,2004-01-14
SAMEA5618977,2004-01-14
SAMEA5618984,2007-04-04
SAMEA5619059,2007-02-07
SAMEA5619081,2010-01-07
SAMEA112953710,2020-08
SAMEA112963012,2016-02
SAMEA5610523,2015-10-26
SAMEA5610604,2015-11-24
SAMEA5610612,2015-11-24
SAMEA5610618,2015-11-30
SAMEA5610619,2015-11-30
SAMEA5610685,2016-05-23
SAMEA5610727,2016-05-05
SAMEA5610757,2016-08-22
SAMEA5610861,2016-01-12
SAMEA5610877,2016-01-12
