sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN16363722,SRR12769698,2019-11,2019-11-01,2019-11-30,United Kingdom: United Kingdom,848991,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,11,,,,False
SAMN16363733,SRR12769701,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,988829,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,09,,,,False
SAMN16363925,SRR12769772,2019-12,2019-12-01,2019-12-31,United Kingdom: United Kingdom,857241,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,12,,,,False
SAMN16363930,SRR12769791,2020-03,2020-03-01,2020-03-31,United Kingdom: United Kingdom,915414,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,03,,,,False
SAMN16363946,SRR12769814,2020-08,2020-07-31,2020-08-31,United Kingdom: United Kingdom,975216,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,08,,,,False
SAMN17128934,SRR13349047,2018-09,2018-08-31,2018-09-30,Canada: Montreal,SS099241,stool,ILLUMINA,Illumina MiSeq,WGS,2018,09,,,,False
SAMN17128971,SRR13349470,2019-10,2019-09-30,2019-10-31,Canada: Montreal,SS178981,stool,ILLUMINA,Illumina MiSeq,WGS,2019,10,,,,False
SAMN20550699,SRR15338003,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1176758,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550819,SRR15338031,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180070,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550965,SRR15338043,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180073,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550452,SRR15338044,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1173637,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550482,SRR15338084,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1175512,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20555815,SRR15339688,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180085,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20555453,SRR15340121,2021-04,2021-03-31,2021-04-30,United Kingdom: United Kingdom,1164852,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,04,,,,False
SAMN20550398,SRR15359504,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180091,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20603101,SRR15361585,2019-12,2019-12-01,2019-12-31,United Kingdom: United Kingdom,882783,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,12,,,,False
SAMN20603106,SRR15361658,2019-10,2019-09-30,2019-10-31,United Kingdom: United Kingdom,882816,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,10,,,,False
SAMN20603085,SRR15361797,2019-09,2019-08-31,2019-09-30,United Kingdom: United Kingdom,806095,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,09,,,,False
SAMN20606645,SRR15365970,2019-01,2019-01-01,2019-01-31,United Kingdom: United Kingdom,681372,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,01,,,,False
SAMN20606811,SRR15365991,2019-05,2019-04-30,2019-05-31,United Kingdom: United Kingdom,741730,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,05,,,,False
SAMN20550400,SRR15367447,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1184362,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20748579,SRR15428992,2017-04,2017-03-31,2017-04-30,United Kingdom: United Kingdom,362784,human,ILLUMINA,Illumina HiSeq 2500,WGS,2017,04,,,,False
SAMN21576294,SRR16027506,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1449357,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,09,,,,False
SAMN21579005,SRR16027622,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1449356,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,09,,,,False
SAMD00532223,DRR415724,2013-07-12,2013-07-11,2013-07-12,Viet Nam,ECV371,feces,ILLUMINA,Illumina MiSeq,WGS,2013,07,12,,,False
SAMN22605387,SRR16598676,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507379,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22605394,SRR16598730,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507407,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22657097,SRR16612561,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1502165,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22657124,SRR16612568,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1502166,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,09,,,,False
SAMN22962688,SRR16842843,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1519721,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN23135599,SRR16941036,2021-11,2021-11-01,2021-11-30,United Kingdom: United Kingdom,1527525,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,11,,,,False
SAMN24118989,SRR17248079,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1545941,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24286932,SRR17296989,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1550766,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24337835,SRR17313958,2019-09-17,2019-09-16,2019-09-17,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2019,09,17,WA,10.0,False
SAMN24337872,SRR17313999,2018-09-17,2018-09-16,2018-09-17,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2018,09,17,WA,10.0,False
SAMN24337870,SRR17314002,2017-10-24,2017-10-23,2017-10-24,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2017,10,24,WA,10.0,False
SAMN24337867,SRR17314005,2018-08-06,2018-08-05,2018-08-06,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2018,08,06,WA,10.0,False
SAMN24337854,SRR17314019,2017-08-04,2017-08-03,2017-08-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2017,08,04,WA,10.0,False
SAMN24337844,SRR17314030,2018-03-12,2018-03-12,2018-03-12,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2018,03,12,WA,10.0,False
SAMN24337843,SRR17314031,2018-08-04,2018-08-03,2018-08-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2018,08,04,WA,10.0,False
