sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN24337900,SRR17314053,2021-01-18,2021-01-18,2021-01-18,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2021,01,18,WA,10.0,False
SAMN24337899,SRR17314054,2021-05-18,2021-05-17,2021-05-18,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2021,05,18,WA,10.0,False
SAMN24337888,SRR17314066,2017-04-04,2017-04-03,2017-04-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS,2017,04,04,WA,10.0,False
SAMN24369412,SRR17322489,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1551505,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24369533,SRR17322492,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1551479,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMEA954622,ERR024073,2005-01-01,2005-01-01,2005-01-01,Uzbekistan,20051541_1361374,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2005,01,01,,,False
SAMEA954620,ERR024076,2006-01-01,2006-01-01,2006-01-01,Egypt,20061309_1361392,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954539,ERR024078,2000-01-01,2000-01-01,2000-01-01,Brazil,CS6_1361402,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2000,01,01,,,False
SAMEA954545,ERR024087,2001-01-01,2001-01-01,2001-01-01,United Kingdom,20011685_1361400,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2001,01,01,,,False
SAMEA954541,ERR024089,2004-01-01,2004-01-01,2004-01-01,Kenya,20040924_1361417,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2004,01,01,,,False
SAMEA954743,ERR024604,2004-01-01,2004-01-01,2004-01-01,Tanzania,Sh41191_401054,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2004,01,01,,,False
SAMEA954619,ERR024605,2006-01-01,2006-01-01,2006-01-01,Haiti,Sh66470_401063,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954739,ERR024610,2006-01-01,2006-01-01,2006-01-01,Senegal,Sh65179_401058,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954691,ERR024616,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB1_401077,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954637,ERR024617,2000-01-01,2000-01-01,2000-01-01,South Korea,ShIB690_401086,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2000,01,01,,,False
SAMEA954836,ERR024620,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB2_401078,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954738,ERR024626,1994-01-01,1994-01-01,1994-01-01,South Korea,ShIB683_401084,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1994,01,01,,,False
SAMEA954638,ERR024627,1998-01-01,1998-01-01,1998-01-01,South Korea,ShIB687_401085,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1998,01,01,,,False
SAMN24386973,SRR17327780,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552495,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24386981,SRR17327790,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552509,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24405084,SRR17331188,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552944,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24539578,SRR17398014,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1554585,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24539580,SRR17398015,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1554591,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMEA954854,ERR025689,1981-01-01,1981-01-01,1981-01-01,South Korea,ShIB713_440731,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1981,01,01,,,False
SAMEA954573,ERR025693,1987-01-01,1987-01-01,1987-01-01,South Korea,ShIB748_440735,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1987,01,01,,,False
SAMEA954578,ERR025701,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB1993_440756,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954628,ERR025709,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3488_440834,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954623,ERR025710,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3507_440835,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954624,ERR025711,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3580_440836,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954606,ERR025721,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3599_440877,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954617,ERR025729,1945-01-01,1944-12-31,1945-01-01,Sweden,Sh54184_440882,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1945,01,01,,,False
SAMEA954583,ERR025732,1943-01-01,1942-12-31,1943-01-01,Sweden,Sh54210_440885,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1943,01,01,,,False
SAMEA954704,ERR025743,1966-01-01,1966-01-01,1966-01-01,France,Sh1166_440936,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1966,01,01,,,False
SAMEA954801,ERR025747,1983-01-01,1983-01-01,1983-01-01,France,Sh8883_441047,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1983,01,01,,,False
SAMEA954676,ERR025750,1973-01-01,1973-01-01,1973-01-01,Nigeria,Sh273_441040,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1973,01,01,,,False
SAMEA954805,ERR025758,1998-01-01,1998-01-01,1998-01-01,French Guiana,Sh988743_441089,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1998,01,01,,,False
SAMEA954745,ERR025759,2003-01-01,2003-01-01,2003-01-01,Nigeria,Sh36224_441098,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954747,ERR025767,2003-01-01,2003-01-01,2003-01-01,Israel,Sh31382_441096,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954595,ERR024065,1991-01-01,1991-01-01,1991-01-01,United Kingdom,19911483_1361377,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1991,01,01,,,False
SAMEA954594,ERR024066,1992-01-01,1992-01-01,1992-01-01,United Kingdom,19920319_1361378,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1992,01,01,,,False
SAMEA954621,ERR024072,1997-01-01,1997-01-01,1997-01-01,Brazil,CS2_1361373,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1997,01,01,,,False
SAMEA954546,ERR024077,2002-01-01,2002-01-01,2002-01-01,Brazil,CS20_1361401,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954543,ERR024085,2005-01-01,2005-01-01,2005-01-01,Peru,20052631_1361398,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2005,01,01,,,False
SAMEA954544,ERR024086,1990-01-01,1990-01-01,1990-01-01,United Kingdom,19904011_1361399,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1990,01,01,,,False
SAMEA954821,ERR024096,2000-01-01,2000-01-01,2000-01-01,Brazil,CS7_1361423,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2000,01,01,,,False
SAMEA954819,ERR024097,2000-01-01,2000-01-01,2000-01-01,Brazil,CS8_1361424,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2000,01,01,,,False
SAMEA954742,ERR024607,2005-01-01,2005-01-01,2005-01-01,Morocco,Sh55623_401055,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2005,01,01,,,False
SAMEA954741,ERR024608,2006-01-01,2006-01-01,2006-01-01,French Guiana,Sh60108_401056,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954634,ERR024611,2006-01-01,2006-01-01,2006-01-01,Morocco,Sh65387_401059,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954639,ERR024612,2006-01-01,2006-01-01,2006-01-01,Morocco,Sh65623_401060,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954635,ERR024619,1979-01-01,1979-01-01,1979-01-01,South Korea,ShIB694_401088,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1979,01,01,,,False
SAMEA954834,ERR024621,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB3_401079,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954625,ERR028671,2005-01-01,2005-01-01,2005-01-01,Egypt,20051272_1361367,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2005,01,01,,,False
SAMEA954626,ERR028675,1991-01-01,1991-01-01,1991-01-01,United Kingdom,19910761_1361368,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1991,01,01,,,False
SAMEA954631,ERR028676,2004-01-01,2004-01-01,2004-01-01,United Kingdom,20041367_1361369,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2004,01,01,,,False
SAMEA954630,ERR028679,2004-01-01,2004-01-01,2004-01-01,Sri Lanka,20040880_1361372,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2004,01,01,,,False
SAMEA954540,ERR028687,2001-01-01,2001-01-01,2001-01-01,Brazil,CS14_1361403,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2001,01,01,,,False
SAMEA954581,ERR028691,1998-01-01,1998-01-01,1998-01-01,Mexico,19984123_1361396,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1998,01,01,,,False
SAMEA954823,ERR028703,2006-01-01,2006-01-01,2006-01-01,Nepal,20062313_1361422,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2006,01,01,,,False
SAMEA954863,ERR025686,1980-01-01,1980-01-01,1980-01-01,South Korea,ShIB696_440728,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1980,01,01,,,False
SAMEA954855,ERR025690,1981-01-01,1981-01-01,1981-01-01,South Korea,ShIB716_440732,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1981,01,01,,,False
SAMEA954576,ERR025692,1985-01-01,1985-01-01,1985-01-01,South Korea,ShIB739_440734,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1985,01,01,,,False
SAMEA954790,ERR025698,2001-01-01,2001-01-01,2001-01-01,Viet Nam,ShIB2013_440764,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2001,01,01,,,False
SAMEA954570,ERR025699,2002-01-01,2002-01-01,2002-01-01,Viet Nam,ShIB1987_440754,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954817,ERR025702,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB1995_440757,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954859,ERR025704,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB2000_440759,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954853,ERR025706,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB2008_440761,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2003,01,01,,,False
SAMEA954547,ERR025713,2002-01-01,2002-01-01,2002-01-01,Viet Nam,ShIB2024_440827,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954632,ERR025716,1979-01-01,1979-01-01,1979-01-01,France,ShIB48279_440830,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1979,01,01,,,False
SAMEA954603,ERR025717,2002-01-01,2002-01-01,2002-01-01,Pakistan,ShIB3277_440831,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954770,ERR025718,2002-01-01,2002-01-01,2002-01-01,Pakistan,ShIB3300_440832,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954769,ERR025719,2002-01-01,2002-01-01,2002-01-01,Pakistan,ShIB3374_440833,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,2002,01,01,,,False
SAMEA954605,ERR025725,1979-01-01,1979-01-01,1979-01-01,France,PWR105_440878,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1979,01,01,,,False
SAMEA954725,ERR025726,1945-01-01,1944-12-31,1945-01-01,Sweden,Sh54178_440879,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1945,01,01,,,False
SAMEA954705,ERR025734,1958-01-01,1958-01-01,1958-01-01,France,Sh658_440929,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1958,01,01,,,False
SAMEA954672,ERR025735,1967-01-01,1967-01-01,1967-01-01,France,Sh1267_440938,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1967,01,01,,,False
SAMEA954706,ERR025737,1959-01-01,1959-01-01,1959-01-01,France,Sh259_440930,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1959,01,01,,,False
SAMEA954674,ERR025746,1973-01-01,1973-01-01,1973-01-01,France,Sh1173_441038,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1973,01,01,,,False
SAMEA954671,ERR025753,1974-01-01,1974-01-01,1974-01-01,France,Sh2574_441043,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1974,01,01,,,False
SAMEA954809,ERR025762,1998-01-01,1998-01-01,1998-01-01,Madagascar,Sh9810267_441091,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS,1998,01,01,,,False
SAMEA954659,ERR039524,2010-04-27,2010-04-26,2010-04-27,Israel,SS132068_2496118,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2010,04,27,,,False
SAMEA954580,ERR039528,2010-07-04,2010-07-03,2010-07-04,Israel,SS134791_2496122,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2010,07,04,,,False
SAMEA1027673,ERR042777,2002-12-08,2002-12-08,2002-12-08,France,sh02-9633,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2002,12,08,,,False
SAMEA1027662,ERR042782,2007-01-21,2007-01-21,2007-01-21,France,sh07-0426,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,01,21,,,False
SAMEA1027678,ERR042785,2007-04-18,2007-04-17,2007-04-18,France,sh07-1910,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,04,18,,,False
SAMEA1027717,ERR042786,2007-04-22,2007-04-21,2007-04-22,France,sh07-2004,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,04,22,,,False
SAMEA1027672,ERR042789,1996-04-18,1996-04-17,1996-04-18,France,sh96-2938,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1996,04,18,,,False
SAMEA1027729,ERR042794,2003-03-08,2003-03-08,2003-03-08,France,sh03-1382,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2003,03,08,,,False
SAMEA1027734,ERR042795,1995-02-01,1995-02-01,1995-02-01,USA,F3183_PFGE 2A,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1995,02,01,,,False
SAMN26101803,SRR18080553,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1580568,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26101810,SRR18080555,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1580548,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMEA954644,ERR039527,2010-06-10,2010-06-09,2010-06-10,Israel,SS133628_2496121,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2010,06,10,,,False
SAMEA954646,ERR039529,2010-08-08,2010-08-07,2010-08-08,Israel,SS136782_2496123,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2010,08,08,,,False
SAMEA1013673,ERR047217,2009-02-24,2009-02-24,2009-02-24,Israel,SS128220_2798530,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2009,02,24,,,False
SAMEA1027649,ERR042783,2007-02-22,2007-02-22,2007-02-22,France,sh07-1018,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,02,22,,,False
SAMEA1027706,ERR042787,2007-05-01,2007-04-30,2007-05-01,France,sh07-2224,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,05,01,,,False
SAMEA1027703,ERR042788,1996-05-30,1996-05-29,1996-05-30,France,sh96-1420,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1996,05,30,,,False
SAMEA1027688,ERR042790,1996-07-04,1996-07-03,1996-07-04,France,sh96-5282,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1996,07,04,,,False
SAMEA1027648,ERR042791,1996-07-24,1996-07-23,1996-07-24,France,sh96-6494,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1996,07,24,,,False
SAMEA1027669,ERR042793,1995-11-07,1995-11-07,1995-11-07,USA,F3342_PFGE 5,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,1995,11,07,,,False
SAMN26199581,SRR18114287,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1582697,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26199580,SRR18114292,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1582666,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26199602,SRR18114316,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1582688,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26234310,SRR18131770,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1583384,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMEA1013731,ERR047213,2007-02-15,2007-02-15,2007-02-15,Israel,SS117077_2798526,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2007,02,15,,,False
SAMEA1013718,ERR047214,2008-06-09,2008-06-08,2008-06-09,Israel,SS127358_2798527,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2008,06,09,,,False
SAMEA1013601,ERR047216,2008-11-23,2008-11-23,2008-11-23,Israel,SS127858_2798529,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2008,11,23,,,False
SAMEA1013658,ERR047218,2009-06-06,2009-06-05,2009-06-06,Israel,SS128716_2798531,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2009,06,06,,,False
SAMEA1013679,ERR047220,2009-02-15,2009-02-15,2009-02-15,Israel,SS130327_2798533,Faeces,ILLUMINA,Illumina HiSeq 2000,WGS,2009,02,15,,,False
SAMN26285648,SRR18157005,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1585849,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26285651,SRR18157008,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1585808,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26285657,SRR18157013,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1585805,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26366633,SRR18207008,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1585086,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMN26440683,SRR18230060,2022-02,2022-02-01,2022-02-28,United Kingdom: United Kingdom,1588315,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,02,,,,False
SAMEA110466517,ERR10074383,2012-07-05,2012-07-04,2012-07-05,South Africa,,Stool culture,ILLUMINA,Illumina NovaSeq 6000,WGS,2012,07,05,,,False
