sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMD00049285,DRR057906,2010,2010-01-01,2010-12-31,Japan:Chiba,CEC10007,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049289,DRR057910,2011,2011-01-01,2011-12-31,Japan:Chiba,CEC11143,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049290,DRR057911,2011,2011-01-01,2011-12-31,Japan:Chiba,CEC11153,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049293,DRR057914,2012,2012-01-01,2012-12-31,Japan:Chiba,CEC12094,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049296,DRR057917,2013,2013-01-01,2013-12-31,Japan:Chiba,CEC13068,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049297,DRR057918,2013,2013-01-01,2013-12-31,Japan:Chiba,CEC13069,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049298,DRR057919,1998,1998-01-01,1998-12-31,Japan:Chiba,CEC98075,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049266,DRR057887,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03063,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049279,DRR057900,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08110,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049281,DRR057902,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049286,DRR057907,2011,2011-01-01,2011-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049288,DRR057909,2011,2011-01-01,2011-12-31,Japan:Chiba,CEC11104,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049292,DRR057913,2012,2012-01-01,2012-12-31,Japan:Chiba,CEC12025,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049294,DRR057915,2013,2013-01-01,2013-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049301,DRR057922,missing,,,missing,US2,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066629,DRR076812,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066631,DRR076814,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066641,DRR076824,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066647,DRR076830,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066650,DRR076833,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066652,DRR076835,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066656,DRR076839,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066657,DRR076840,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066658,DRR076841,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066661,DRR076844,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066664,DRR076847,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066667,DRR076850,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066669,DRR076852,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066674,DRR076857,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066675,DRR076858,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066676,DRR076859,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066678,DRR076861,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066679,DRR076862,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066683,DRR076866,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066685,DRR076868,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066686,DRR076869,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066687,DRR076870,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066691,DRR076874,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066694,DRR076877,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066705,DRR076888,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066706,DRR076889,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066707,DRR076890,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066708,DRR076891,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066712,DRR076895,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066717,DRR076900,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066719,DRR076902,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066723,DRR076906,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066724,DRR076907,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066726,DRR076909,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066729,DRR076912,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066731,DRR076914,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066734,DRR076917,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066735,DRR076918,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066737,DRR076920,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066739,DRR076922,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066741,DRR076924,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066742,DRR076925,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066748,DRR076931,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066754,DRR076937,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066758,DRR076941,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066627,DRR076810,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066630,DRR076813,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066632,DRR076815,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066633,DRR076816,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066634,DRR076817,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066635,DRR076818,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066636,DRR076819,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066640,DRR076823,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066645,DRR076828,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066654,DRR076837,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066655,DRR076838,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066660,DRR076843,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066662,DRR076845,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066663,DRR076846,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066668,DRR076851,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066670,DRR076853,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066673,DRR076856,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066677,DRR076860,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066682,DRR076865,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066688,DRR076871,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066693,DRR076876,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066695,DRR076878,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069758,DRR082431,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04170,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066697,DRR076880,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066698,DRR076881,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069759,DRR082432,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC05071,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066699,DRR076882,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069760,DRR082433,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC05072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066704,DRR076887,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069764,DRR082437,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC05076,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066710,DRR076893,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069766,DRR082439,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08115,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066714,DRR076897,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069769,DRR082442,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08153,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066738,DRR076921,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069771,DRR082444,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08155,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066740,DRR076923,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069772,DRR082445,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08156,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066743,DRR076926,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069773,DRR082446,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08157,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066745,DRR076928,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069774,DRR082447,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08167,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066746,DRR076929,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC11077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069781,DRR082454,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08174,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066749,DRR076932,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066750,DRR076933,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066753,DRR076936,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066756,DRR076939,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00066761,DRR076944,2015,2015-01-01,2015-12-31,Japan:Chiba,CEC13043,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069761,DRR082434,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC05073,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069767,DRR082440,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08125,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069768,DRR082441,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069770,DRR082443,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08154,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069777,DRR082450,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08170,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069778,DRR082451,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08171,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069779,DRR082452,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08172,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00069780,DRR082453,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08173,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083793,DRR096287,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04170,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083795,DRR096289,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04053,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083805,DRR096299,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04178,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083809,DRR096303,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04179,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083810,DRR096304,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04180,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083813,DRR096307,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC04152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083818,DRR096312,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC05075,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083821,DRR096315,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC06044,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083822,DRR096316,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC06046,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083829,DRR096323,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC07127,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083830,DRR096324,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC07144,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083833,DRR096327,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC07052,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083834,DRR096328,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC07039,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083835,DRR096329,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08153,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083837,DRR096331,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08155,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083838,DRR096332,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08156,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083840,DRR096334,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08167,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083850,DRR096344,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08178,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083851,DRR096345,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08115,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083855,DRR096349,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08131,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083858,DRR096352,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08104,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083860,DRR096354,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08087,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083865,DRR096359,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08099,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083867,DRR096361,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08096,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083870,DRR096364,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08126,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083874,DRR096368,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC08111,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083878,DRR096372,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC09105,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083879,DRR096373,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC09018,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083880,DRR096374,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC09023,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083885,DRR096379,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12019,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083890,DRR096384,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12024,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083891,DRR096385,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12093,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083892,DRR096386,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12095,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083894,DRR096388,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12108,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083895,DRR096389,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC12099,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083896,DRR096390,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC13070,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083897,DRR096391,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC13071,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083901,DRR096395,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC13075,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00083902,DRR096396,2014,2014-01-01,2014-12-31,Japan:Chiba,CEC13082,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049276,DRR096403,2006,2006-01-01,2006-12-31,Japan:Chiba,CEC07016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049281,DRR096408,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08114,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049282,DRR096409,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08152,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049284,DRR096411,2010,2010-01-01,2010-12-31,Japan:Chiba,CEC10001,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049291,DRR096413,2012,2012-01-01,2012-12-31,Japan:Chiba,CEC12014,,ILLUMINA,Illumina HiSeq 2500,WGS
