sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMD00034520,DRR037720,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034522,DRR037722,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04039,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034526,DRR037726,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04155,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034531,DRR037731,2006,2006-01-01,2006-12-31,Japan:Chiba,CEC06016,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034533,DRR037733,2006,2006-01-01,2006-12-31,Japan:Chiba,CEC06082,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034535,DRR037735,2007,2007-01-01,2007-12-31,Japan:Chiba,CEC07021,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034539,DRR037739,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08031,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034542,DRR037742,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08129,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034545,DRR037745,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08142,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034547,DRR037747,2009,2009-01-01,2009-12-31,Japan:Chiba,CEC09011,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034551,DRR037751,2010,2010-01-01,2010-12-31,Japan:Chiba,CEC10106,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034552,DRR037752,2013,2013-01-01,2013-12-31,Japan:Chiba,CEC13053,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034517,DRR037717,2002,2002-01-01,2002-12-31,Japan:Chiba,CEC02107,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034518,DRR037718,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03027,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034521,DRR037721,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03109,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034524,DRR037724,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04146,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034525,DRR037725,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04150,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034527,DRR037727,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04169,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034541,DRR037741,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08124,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034543,DRR037743,2008,2008-01-01,2008-12-31,Japan:Chiba,CEC08139,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034548,DRR037748,2009,2009-01-01,2009-12-31,Japan:Chiba,CEC09072,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034549,DRR037749,2009,2009-01-01,2009-12-31,Japan:Chiba,CEC09077,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00034555,DRR037755,1999,1999-01-01,1999-12-31,Japan:Chiba,CEC99038,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049264,DRR057885,221,,,Japan:Chiba,CEC01441,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049265,DRR057886,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03058,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049267,DRR057888,2003,2003-01-01,2003-12-31,Japan:Chiba,CEC03095,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049269,DRR057890,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04009,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049272,DRR057893,2004,2004-01-01,2004-12-31,Japan:Chiba,CEC04184,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049274,DRR057895,2005,2005-01-01,2005-12-31,Japan:Chiba,CEC05092,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049275,DRR057896,2006,2006-01-01,2006-12-31,Japan:Chiba,CEC06064,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049277,DRR057898,2007,2007-01-01,2007-12-31,Japan:Chiba,CEC08090,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00049284,DRR057905,2010,2010-01-01,2010-12-31,Japan:Chiba,CEC10001,,ILLUMINA,Illumina HiSeq 2500,WGS
