sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMEA111331860,ERR10176522,2018,2018-01-01,2018-12-31,Switzerland,,urine sample,ILLUMINA,Illumina MiSeq,WGS
SAMD00029177,DRR033876,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0064,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029181,DRR033880,2014,2014-01-01,2014-12-31,Nepal,N0253,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029184,DRR033883,2014,2014-01-01,2014-12-31,Nepal,N0282,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029185,DRR033884,2014,2014-01-01,2014-12-31,Nepal,N0291-1,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029186,DRR033885,2014,2014-01-01,2014-12-31,Nepal,N0291-2,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029188,DRR033887,2014,2014-01-01,2014-12-31,Nepal,N0348,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029189,DRR033888,2014,2014-01-01,2014-12-31,Nepal,N0415,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029192,DRR033891,2014,2014-01-01,2014-12-31,Nepal,N0491,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029196,DRR033895,2014,2014-01-01,2014-12-31,Nepal,N0512,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029197,DRR033896,2014,2014-01-01,2014-12-31,Nepal,N0564,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029198,DRR033897,2014,2014-01-01,2014-12-31,Nepal,N0574,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029199,DRR033898,2014,2014-01-01,2014-12-31,Nepal,N0603,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029200,DRR033899,2014,2014-01-01,2014-12-31,Nepal,N0716,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029205,DRR033904,2014,2014-01-01,2014-12-31,Nepal,N0985-2,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029210,DRR033909,2014,2014-01-01,2014-12-31,Nepal,N1160,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029212,DRR033911,2014,2014-01-01,2014-12-31,Nepal,N1200,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029219,DRR033918,2014,2014-01-01,2014-12-31,Nepal,N1253,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029223,DRR033922,2014,2014-01-01,2014-12-31,Nepal,N1345,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029225,DRR033924,2014,2014-01-01,2014-12-31,Nepal,N1417,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029227,DRR033926,2014,2014-01-01,2014-12-31,Nepal,N1429,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029228,DRR033927,2014,2014-01-01,2014-12-31,Nepal,N1442,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029231,DRR033930,2014,2014-01-01,2014-12-31,Nepal,N1504,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029233,DRR033932,2014,2014-01-01,2014-12-31,Nepal,N1753,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029235,DRR033934,2014,2014-01-01,2014-12-31,Nepal,N1795,,ILLUMINA,Illumina MiSeq,WGS
SAMD00027193,DRR031241,NA,,,Japan,missing,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029170,DRR033869,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0012,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029171,DRR033870,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0019,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029174,DRR033873,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0045,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029176,DRR033875,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0063,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029179,DRR033878,2014,2014-01-01,2014-12-31,Japan: Tokyo,J0074,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029180,DRR033879,2014,2014-01-01,2014-12-31,Nepal,N0241,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029182,DRR033881,2014,2014-01-01,2014-12-31,Nepal,N0256,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029183,DRR033882,2014,2014-01-01,2014-12-31,Nepal,N0261,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029187,DRR033886,2014,2014-01-01,2014-12-31,Nepal,N0335,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029190,DRR033889,2014,2014-01-01,2014-12-31,Nepal,N0422,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029202,DRR033901,2014,2014-01-01,2014-12-31,Nepal,N0931,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029206,DRR033905,2014,2014-01-01,2014-12-31,Nepal,N1001,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029207,DRR033906,2014,2014-01-01,2014-12-31,Nepal,N1027,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029213,DRR033912,2014,2014-01-01,2014-12-31,Nepal,N1203,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029215,DRR033914,2014,2014-01-01,2014-12-31,Nepal,N1229,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029217,DRR033916,2014,2014-01-01,2014-12-31,Nepal,N1249,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029218,DRR033917,2014,2014-01-01,2014-12-31,Nepal,N1252,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029220,DRR033919,2014,2014-01-01,2014-12-31,Nepal,N1274,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029221,DRR033920,2014,2014-01-01,2014-12-31,Nepal,N1332,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029224,DRR033923,2014,2014-01-01,2014-12-31,Nepal,N1385,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029230,DRR033929,2014,2014-01-01,2014-12-31,Nepal,N1471,,ILLUMINA,Illumina MiSeq,WGS
SAMD00029234,DRR033933,2014,2014-01-01,2014-12-31,Nepal,N1767,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044942,DRR051007,2008,2008-01-01,2008-12-31,Japan:Kyoto,KUN3842,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044943,DRR051008,2009,2009-01-01,2009-12-31,Japan:Kyoto,KUN5781,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044944,DRR051009,2009,2009-01-01,2009-12-31,Japan:Kyoto,KUN4389,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044946,DRR051011,2009,2009-01-01,2009-12-31,Japan:Kyoto,KUN5823,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044950,DRR051015,2010,2010-01-01,2010-12-31,Japan:Kyoto,KS26,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044954,DRR051019,2011,2011-01-01,2011-12-31,Japan:Shiga,SN65,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044957,DRR051022,2011,2011-01-01,2011-12-31,Japan:Kyoto,KP75,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044968,DRR051033,2013,2013-01-01,2013-12-31,Japan:Aichi,BRG120,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044972,DRR051037,2009,2009-01-01,2009-12-31,Canada,Ec 32,,ILLUMINA,NextSeq 500,WGS
SAMD00044976,DRR051041,2008,2008-01-01,2008-12-31,South Africa,EcSA01,,ILLUMINA,NextSeq 500,WGS
SAMD00044979,DRR051044,2009,2009-01-01,2009-12-31,Canada,Ec 58,,ILLUMINA,NextSeq 500,WGS
SAMD00044930,DRR050995,2003,2003-01-01,2003-12-31,Japan:Shiga,SNEC5,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044931,DRR050996,2004,2004-01-01,2004-12-31,Japan:Kyoto,KFEC6,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044932,DRR050997,2004,2004-01-01,2004-12-31,Japan:Kyoto,KFEC8,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044933,DRR050998,2005,2005-01-01,2005-12-31,Japan:Kyoto,KKEC3,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044934,DRR050999,2006,2006-01-01,2006-12-31,Japan:Kyoto,KSEC29,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044937,DRR051002,2007,2007-01-01,2007-12-31,Japan:Shiga,ONEC27,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044940,DRR051005,2008,2008-01-01,2008-12-31,Japan:Kyoto,KUN3594,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044941,DRR051006,2008,2008-01-01,2008-12-31,Japan:Kyoto,KUN3273,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044948,DRR051013,2009,2009-01-01,2009-12-31,Japan:Kyoto,KCH27,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044952,DRR051017,2010,2010-01-01,2010-12-31,Japan:Kyoto,KP14,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044955,DRR051020,2011,2011-01-01,2011-12-31,Japan:Kyoto,KS46,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044958,DRR051023,2012,2012-01-01,2012-12-31,Japan:Kyoto,KT6,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044959,DRR051024,2012,2012-01-01,2012-12-31,Japan:Kyoto,KT10,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044960,DRR051025,2012,2012-01-01,2012-12-31,Japan:Kyoto,KT37,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044961,DRR051026,2012,2012-01-01,2012-12-31,Japan:Shiga,SI43,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044964,DRR051029,2012,2012-01-01,2012-12-31,Japan:Kyoto,KS121,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044966,DRR051031,2013,2013-01-01,2013-12-31,Japan:Hyogo,BRG54,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044967,DRR051032,2013,2013-01-01,2013-12-31,Japan:Hyogo,BRG62,,ILLUMINA,Illumina MiSeq,WGS
SAMD00044973,DRR051038,2008,2008-01-01,2008-12-31,USA,USA 14,,ILLUMINA,NextSeq 500,WGS
SAMD00044974,DRR051039,2008,2008-01-01,2008-12-31,France,FR 11,,ILLUMINA,NextSeq 500,WGS
SAMD00044975,DRR051040,2010,2010-01-01,2010-12-31,New Zealand,ECNZ 35,,ILLUMINA,NextSeq 500,WGS
SAMD00044978,DRR051043,2009,2009-01-01,2009-12-31,Canada,Ec 31,,ILLUMINA,NextSeq 500,WGS
