sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN29371442,SRR19861396,2022,2022-01-01,2022-12-31,USA:SC,PNUSAE105391,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN29378505,SRR19868398,2022-06,2022-05-31,2022-06-30,United Kingdom: United Kingdom,1652515,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN32301243,SRR22801747,2022-12,2022-12-01,2022-12-31,United Kingdom: United Kingdom,1790991,human,ILLUMINA,NextSeq 1000,WGS
SAMN32308836,SRR22810158,missing,,,USA,PNUSAE122450,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32311043,SRR22811851,2022,2022-01-01,2022-12-31,USA,PNUSAE123339,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32311042,SRR22811853,2022,2022-01-01,2022-12-31,USA,PNUSAE123340,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32311194,SRR22812209,missing,,,USA,PNUSAE123420,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32312785,SRR22812742,2022,2022-01-01,2022-12-31,missing,PNUSAE123400,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32313648,SRR22813524,missing,,,USA,PNUSAE123442,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32313636,SRR22814534,missing,,,USA,PNUSAE123444,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32348174,SRR22845512,2022,2022-01-01,2022-12-31,missing,PNUSAE123624,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32352410,SRR22851295,2022-12,2022-12-01,2022-12-31,United Kingdom: United Kingdom,1791465,human,ILLUMINA,NextSeq 1000,WGS
SAMN31928442,SRR22851855,missing,,,missing,PNUSAE121669,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN32353058,SRR22852578,2022-12,2022-12-01,2022-12-31,United Kingdom: United Kingdom,1793142,human,ILLUMINA,NextSeq 1000,WGS
SAMN34571576,SRR24422952,missing,,,USA,PNUSAE134285,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34571628,SRR24423031,2023,2023-01-01,2023-12-31,missing,PNUSAE134344,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34571629,SRR24423032,2023,2023-01-01,2023-12-31,missing,PNUSAE134346,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34571626,SRR24423034,2023,2023-01-01,2023-12-31,missing,PNUSAE134345,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34585680,SRR24429573,missing,,,missing,PNUSAE134261,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34585695,SRR24432350,missing,,,missing,PNUSAE134395,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34680481,SRR24445625,2023,2023-01-01,2023-12-31,missing,PNUSAE134456,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34894843,SRR24459472,missing,,,USA,PNUSAE134497,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN30077613,SRR20728057,2021-12-13,2021-12-13,2021-12-13,Spain: Barcelona,SH285,feces,ILLUMINA,Illumina MiSeq,WGS
SAMN30077575,SRR20728099,2021-08-03,2021-08-02,2021-08-03,Spain: Barcelona,SH244,feces,ILLUMINA,Illumina MiSeq,WGS
SAMN31023321,SRR21713936,missing,,,USA,PNUSAE115429,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN31159046,SRR21813489,missing,,,USA,PNUSAE116133,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN31821799,SRR22363337,missing,,,USA,PNUSAE121029,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN31821801,SRR22363341,missing,,,USA,PNUSAE121023,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN04625577,SRR3360203,2015-08,2015-07-31,2015-08-31,United Kingdom: None,144013,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN05734369,SRR4181575,2015-09,2015-08-31,2015-09-30,United Kingdom: London,158943,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN06072274,SRR5124285,Missing,,,USA,PNUSAS005609,Missing,ILLUMINA,Illumina MiSeq,WGS
SAMN07761766,SRR6164710,Missing,,,USA,PNUSAE007560,human,ILLUMINA,Illumina MiSeq,WGS
SAMN08799857,SRR6902798,missing,,,USA,PNUSAE012743,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN08799851,SRR6902800,missing,,,USA,PNUSAE012565,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN08799848,SRR6903014,missing,,,USA,PNUSAE012746,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN08941721,SRR7013766,missing,,,USA,PNUSAE012656,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN09210193,SRR7166274,missing,,,USA,PNUSAE013699,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN09214243,SRR7172066,2018-04,2018-03-31,2018-04-30,United Kingdom: United Kingdom,527594,human,ILLUMINA,Illumina HiSeq 2500,WGS
