sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMD00013261,DRR002015,,,,,2W14,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMEA1031214,ERR089740,1800/2014,1800-01-01,2014-12-31,India,5052,fecal,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00013286,DRR002028,,,,,4R1,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013284,DRR002043,,,,,8W20,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013272,DRR002045,,,,,10W40,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013278,DRR002046,,,,,10W21,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMEA111347130,ERR10178500,,,,,,,ILLUMINA,NextSeq 2000,WGS
SAMEA111347134,ERR10178504,,,,,,,ILLUMINA,NextSeq 2000,WGS
SAMD00013271,DRR002014,,,,,2W22,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013270,DRR002016,,,,,2W11,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013267,DRR002017,,,,,2W30,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013269,DRR002026,,,,,3X10,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013273,DRR002027,,,,,4R16,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013294,DRR002030,,,,,4R18,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013254,DRR002032,,,,,4R17,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013260,DRR002033,,,,,5W23,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013283,DRR002038,,,,,5W30,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013281,DRR002039,,,,,8W17,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013253,DRR002040,,,,,8W18,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013251,DRR002042,,,,,8W33,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00013280,DRR002051,,,,,11Za12,,ILLUMINA,Illumina Genome Analyzer IIx,WGS
SAMD00018478,DRR021339,NA,,,,P,,ABI_SOLID,AB SOLiD System 3.0,WGS
SAMD00018479,DRR021342,NA,,,,A,,ILLUMINA,Illumina MiSeq,WGS
SAMD00018480,DRR021344,NA,,,,B,,ILLUMINA,Illumina MiSeq,WGS
SAMD00018483,DRR021349,NA,,,,E,,ABI_SOLID,AB SOLiD System 3.0,WGS
SAMD00018483,DRR021350,NA,,,,E,,ILLUMINA,Illumina MiSeq,WGS
SAMD00018484,DRR021352,NA,,,,F,,ILLUMINA,Illumina MiSeq,WGS
SAMEA4464631,ERR1656396,2015,2015-01-01,2015-12-31,Denmark,,,ILLUMINA,Illumina MiSeq,WGS
SAMD00018723,DRR021575,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018710,DRR021581,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018711,DRR021583,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018713,DRR021587,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018702,DRR021589,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018702,DRR021590,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018704,DRR021593,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018736,DRR021600,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018737,DRR021602,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018726,DRR021606,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018714,DRR021613,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018714,DRR021614,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018715,DRR021616,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018716,DRR021617,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018717,DRR021619,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018708,DRR021625,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018708,DRR021626,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018709,DRR021627,missing,,,missing,K-12;missing,,LS454,454 GS FLX+,WGS
SAMD00018709,DRR021628,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
SAMD00018739,DRR021630,missing,,,missing,K-12;missing,,ILLUMINA,Illumina HiSeq 2000,WGS
