sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMD00003155,DRR016011,,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA5615266,ERR3330633,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615290,ERR3330664,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615315,ERR3330929,2017,2017-01-01,2017-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615337,ERR3330991,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615369,ERR3331023,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615550,ERR3331199,2017,2017-01-01,2017-12-31,,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615696,ERR3333254,2017,2017-01-01,2017-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMN16363722,SRR12769698,2019-11,2019-11-01,2019-11-30,United Kingdom: United Kingdom,848991,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN16363733,SRR12769701,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,988829,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN16363925,SRR12769772,2019-12,2019-12-01,2019-12-31,United Kingdom: United Kingdom,857241,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN16363930,SRR12769791,2020-03,2020-03-01,2020-03-31,United Kingdom: United Kingdom,915414,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN16363946,SRR12769814,2020-08,2020-07-31,2020-08-31,United Kingdom: United Kingdom,975216,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN16374865,SRR12775099,missing,,,USA,PNUSAE061711,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN16379749,SRR12780159,missing,,,USA,PNUSAE061831,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN17128934,SRR13349047,2018-09,2018-08-31,2018-09-30,Canada: Montreal,SS099241,stool,ILLUMINA,Illumina MiSeq,WGS
SAMN17128971,SRR13349470,2019-10,2019-09-30,2019-10-31,Canada: Montreal,SS178981,stool,ILLUMINA,Illumina MiSeq,WGS
SAMN18312943,SRR13963738,missing,,,USA,PNUSAE068807,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20153120,SRR15085173,2020,2020-01-01,2020-12-31,missing,PNUSAE076385,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20153097,SRR15087403,2020,2020-01-01,2020-12-31,missing,PNUSAE076393,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20550699,SRR15338003,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1176758,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550819,SRR15338031,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180070,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550965,SRR15338043,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180073,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550452,SRR15338044,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1173637,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550482,SRR15338084,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1175512,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20555815,SRR15339688,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180085,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20555453,SRR15340121,2021-04,2021-03-31,2021-04-30,United Kingdom: United Kingdom,1164852,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550398,SRR15359504,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180091,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20603101,SRR15361585,2019-12,2019-12-01,2019-12-31,United Kingdom: United Kingdom,882783,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20603106,SRR15361658,2019-10,2019-09-30,2019-10-31,United Kingdom: United Kingdom,882816,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20603085,SRR15361797,2019-09,2019-08-31,2019-09-30,United Kingdom: United Kingdom,806095,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20606645,SRR15365970,2019-01,2019-01-01,2019-01-31,United Kingdom: United Kingdom,681372,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20606811,SRR15365991,2019-05,2019-04-30,2019-05-31,United Kingdom: United Kingdom,741730,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550400,SRR15367447,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1184362,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20748579,SRR15428992,2017-04,2017-03-31,2017-04-30,United Kingdom: United Kingdom,362784,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN21362967,SRR15824108,missing,,,USA,PNUSAE082731,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN21576294,SRR16027506,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1449357,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN21579005,SRR16027622,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1449356,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00532223,DRR415724,2013-07-12,2013-07-11,2013-07-12,Viet Nam,ECV371,feces,ILLUMINA,Illumina MiSeq,WGS
SAMN22605020,SRR16598642,missing,,,USA,PNUSAE087498,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22605387,SRR16598676,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507379,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN22605394,SRR16598730,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507407,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN22612949,SRR16605659,2021,2021-01-01,2021-12-31,missing,PNUSAE087655,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22612947,SRR16605660,2021,2021-01-01,2021-12-31,missing,PNUSAE087652,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22612950,SRR16605661,2021,2021-01-01,2021-12-31,missing,PNUSAE087649,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22612945,SRR16605664,2021,2021-01-01,2021-12-31,missing,PNUSAE087650,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22613154,SRR16605667,2021,2021-01-01,2021-12-31,missing,PNUSAE087648,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22613156,SRR16605668,2021,2021-01-01,2021-12-31,missing,PNUSAE087654,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22613153,SRR16605670,2021,2021-01-01,2021-12-31,missing,PNUSAE087657,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN22657097,SRR16612561,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1502165,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN22657124,SRR16612568,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1502166,human,ILLUMINA,Illumina HiSeq 2500,WGS
