sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN22962688,SRR16842843,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1519721,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN23101371,SRR16937631,2021,2021-01-01,2021-12-31,missing,PNUSAE089013,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN23101373,SRR16937632,2021,2021-01-01,2021-12-31,missing,PNUSAE089015,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN23101367,SRR16937709,2021,2021-01-01,2021-12-31,missing,PNUSAE089014,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN23135599,SRR16941036,2021-11,2021-11-01,2021-11-30,United Kingdom: United Kingdom,1527525,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN23307954,SRR16983709,2021,2021-01-01,2021-12-31,USA,PNUSAE089448,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24106275,SRR17242282,missing,,,USA,PNUSAE091424,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24106273,SRR17242283,missing,,,USA,PNUSAE091423,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24118989,SRR17248079,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1545941,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN24281610,SRR17295828,2021,2021-01-01,2021-12-31,missing,PNUSAE091908,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24281605,SRR17296086,2021,2021-01-01,2021-12-31,missing,PNUSAE091912,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24281607,SRR17296088,2021,2021-01-01,2021-12-31,missing,PNUSAE091909,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24281604,SRR17296094,2021,2021-01-01,2021-12-31,missing,PNUSAE091915,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24286932,SRR17296989,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1550766,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA954693,ERR017666,,,,,EG410,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954748,ERR017670,,,,,EG383,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954737,ERR017674,,,,,EG372,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954857,ERR017677,,,,,EG390,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954660,ERR017679,,,,,EG373,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954664,ERR017683,,,,,EG430,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954665,ERR017684,,,,,DE611,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954616,ERR019783,,,,,MS128,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954608,ERR019790,,,,,DE891,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954650,ERR019798,,,,,DE127,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954557,ERR019800,,,,,DE306,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954558,ERR019803,,,,,DE1063,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954554,ERR019808,,,,,DE900,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954842,ERR019815,,,,,DE303,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954840,ERR019816,,,,,DE199,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954838,ERR019817,,,,,DE1191,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954849,ERR019818,,,,,DE1336,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954848,ERR019819,,,,,EG467,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954830,ERR019822,,,,,EG255,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954782,ERR019827,,,,,EG379,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954780,ERR019830,,,,,EG388,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954668,ERR019836,,,,,DE1404,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMN24337835,SRR17313958,2019-09-17,2019-09-16,2019-09-17,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337872,SRR17313999,2018-09-17,2018-09-16,2018-09-17,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337870,SRR17314002,2017-10-24,2017-10-23,2017-10-24,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337867,SRR17314005,2018-08-06,2018-08-05,2018-08-06,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337854,SRR17314019,2017-08-04,2017-08-03,2017-08-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337844,SRR17314030,2018-03-12,2018-03-12,2018-03-12,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337843,SRR17314031,2018-08-04,2018-08-03,2018-08-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337900,SRR17314053,2021-01-18,2021-01-18,2021-01-18,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337899,SRR17314054,2021-05-18,2021-05-17,2021-05-18,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24337888,SRR17314066,2017-04-04,2017-04-03,2017-04-04,USA: Seattle,,stool,ILLUMINA,NextSeq 500,WGS
SAMN24369136,SRR17321994,missing,,,USA,PNUSAE091966,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24369133,SRR17321996,missing,,,USA,PNUSAE091965,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24369138,SRR17322267,missing,,,USA,PNUSAE091971,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN24369412,SRR17322489,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1551505,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN24369533,SRR17322492,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1551479,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA954622,ERR024073,2005-01-01,2005-01-01,2005-01-01,Uzbekistan,20051541_1361374,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954620,ERR024076,2006-01-01,2006-01-01,2006-01-01,Egypt,20061309_1361392,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954539,ERR024078,2000-01-01,2000-01-01,2000-01-01,Brazil,CS6_1361402,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954545,ERR024087,2001-01-01,2001-01-01,2001-01-01,United Kingdom,20011685_1361400,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954541,ERR024089,2004-01-01,2004-01-01,2004-01-01,Kenya,20040924_1361417,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954743,ERR024604,2004-01-01,2004-01-01,2004-01-01,Tanzania,Sh41191_401054,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954619,ERR024605,2006-01-01,2006-01-01,2006-01-01,Haiti,Sh66470_401063,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954739,ERR024610,2006-01-01,2006-01-01,2006-01-01,Senegal,Sh65179_401058,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954772,ERR024614,2006,2006-01-01,2006-12-31,France,66396,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954691,ERR024616,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB1_401077,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954637,ERR024617,2000-01-01,2000-01-01,2000-01-01,South Korea,ShIB690_401086,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954836,ERR024620,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB2_401078,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954738,ERR024626,1994-01-01,1994-01-01,1994-01-01,South Korea,ShIB683_401084,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954638,ERR024627,1998-01-01,1998-01-01,1998-01-01,South Korea,ShIB687_401085,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMN24386973,SRR17327780,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552495,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN24386981,SRR17327790,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552509,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN24405084,SRR17331188,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1552944,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA954667,ERR017676,,,,,EG1008,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954627,ERR017678,,,,,EG395,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954662,ERR017681,,,,,DE579,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMN24539578,SRR17398014,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1554585,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN24539580,SRR17398015,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1554591,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA954854,ERR025689,1981-01-01,1981-01-01,1981-01-01,South Korea,ShIB713_440731,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954573,ERR025693,1987-01-01,1987-01-01,1987-01-01,South Korea,ShIB748_440735,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954852,ERR025696,2003,2003-01-01,2003-12-31,United Kingdom,IB2009,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954578,ERR025701,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB1993_440756,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954628,ERR025709,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3488_440834,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954623,ERR025710,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3507_440835,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954624,ERR025711,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3580_440836,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954606,ERR025721,2003-01-01,2003-01-01,2003-01-01,Pakistan,ShIB3599_440877,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954617,ERR025729,1945-01-01,1944-12-31,1945-01-01,Sweden,Sh54184_440882,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954583,ERR025732,1943-01-01,1942-12-31,1943-01-01,Sweden,Sh54210_440885,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954704,ERR025743,1966-01-01,1966-01-01,1966-01-01,France,Sh1166_440936,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954801,ERR025747,1983-01-01,1983-01-01,1983-01-01,France,Sh8883_441047,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954676,ERR025750,1973-01-01,1973-01-01,1973-01-01,Nigeria,Sh273_441040,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954805,ERR025758,1998-01-01,1998-01-01,1998-01-01,French Guiana,Sh988743_441089,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954745,ERR025759,2003-01-01,2003-01-01,2003-01-01,Nigeria,Sh36224_441098,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954747,ERR025767,2003-01-01,2003-01-01,2003-01-01,Israel,Sh31382_441096,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954587,ERR019763,,,,,MS065,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954565,ERR019766,,,,,MS032,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954586,ERR019772,,,,,MS063,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954589,ERR019774,,,,,MS070,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954610,ERR019775,,,,,MS119,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954609,ERR019776,,,,,DE885,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954591,ERR019778,,,,,MS083,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954592,ERR019779,,,,,MS102,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954649,ERR019788,,,,,DE837,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954611,ERR019789,,,,,DE1150,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954655,ERR019792,,,,,DE1208,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954559,ERR019804,,,,,DE1198,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954560,ERR019805,,,,,DE490,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954551,ERR019810,,,,,DE1140,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954832,ERR019812,,,,,EG365,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954844,ERR019814,,,,,DE816,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954792,ERR019823,,,,,EG315,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954795,ERR019824,,,,,EG357,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954784,ERR019828,,,,,EG385,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954778,ERR019829,,,,,EG369,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954696,ERR019838,,,,,EG425,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954700,ERR019842,,,,,DE1256,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954702,ERR019844,,,,,EG1001,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954595,ERR024065,1991-01-01,1991-01-01,1991-01-01,United Kingdom,19911483_1361377,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954594,ERR024066,1992-01-01,1992-01-01,1992-01-01,United Kingdom,19920319_1361378,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954621,ERR024072,1997-01-01,1997-01-01,1997-01-01,Brazil,CS2_1361373,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954546,ERR024077,2002-01-01,2002-01-01,2002-01-01,Brazil,CS20_1361401,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954543,ERR024085,2005-01-01,2005-01-01,2005-01-01,Peru,20052631_1361398,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954544,ERR024086,1990-01-01,1990-01-01,1990-01-01,United Kingdom,19904011_1361399,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954821,ERR024096,2000-01-01,2000-01-01,2000-01-01,Brazil,CS7_1361423,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954819,ERR024097,2000-01-01,2000-01-01,2000-01-01,Brazil,CS8_1361424,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954742,ERR024607,2005-01-01,2005-01-01,2005-01-01,Morocco,Sh55623_401055,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954741,ERR024608,2006-01-01,2006-01-01,2006-01-01,French Guiana,Sh60108_401056,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954634,ERR024611,2006-01-01,2006-01-01,2006-01-01,Morocco,Sh65387_401059,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954639,ERR024612,2006-01-01,2006-01-01,2006-01-01,Morocco,Sh65623_401060,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954635,ERR024619,1979-01-01,1979-01-01,1979-01-01,South Korea,ShIB694_401088,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954834,ERR024621,2003-01-01,2003-01-01,2003-01-01,South Korea,ShIB3_401079,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954625,ERR028671,2005-01-01,2005-01-01,2005-01-01,Egypt,20051272_1361367,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954594,ERR028674,1992-01-01,1992-01-01,1992-01-01,United Kingdom,19920319_1361378,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954626,ERR028675,1991-01-01,1991-01-01,1991-01-01,United Kingdom,19910761_1361368,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954631,ERR028676,2004-01-01,2004-01-01,2004-01-01,United Kingdom,20041367_1361369,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954630,ERR028679,2004-01-01,2004-01-01,2004-01-01,Sri Lanka,20040880_1361372,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954622,ERR028681,2005-01-01,2005-01-01,2005-01-01,Uzbekistan,20051541_1361374,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954601,ERR028682,,,,,20061497,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954540,ERR028687,2001-01-01,2001-01-01,2001-01-01,Brazil,CS14_1361403,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954581,ERR028691,1998-01-01,1998-01-01,1998-01-01,Mexico,19984123_1361396,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954544,ERR028694,1990-01-01,1990-01-01,1990-01-01,United Kingdom,19904011_1361399,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954823,ERR028703,2006-01-01,2006-01-01,2006-01-01,Nepal,20062313_1361422,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954571,ERR025684,2002,2002-01-01,2002-12-31,United Kingdom,IB1976,,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954863,ERR025686,1980-01-01,1980-01-01,1980-01-01,South Korea,ShIB696_440728,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954855,ERR025690,1981-01-01,1981-01-01,1981-01-01,South Korea,ShIB716_440732,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954576,ERR025692,1985-01-01,1985-01-01,1985-01-01,South Korea,ShIB739_440734,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954790,ERR025698,2001-01-01,2001-01-01,2001-01-01,Viet Nam,ShIB2013_440764,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954570,ERR025699,2002-01-01,2002-01-01,2002-01-01,Viet Nam,ShIB1987_440754,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954817,ERR025702,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB1995_440757,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954859,ERR025704,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB2000_440759,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954853,ERR025706,2003-01-01,2003-01-01,2003-01-01,Viet Nam,ShIB2008_440761,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954547,ERR025713,2002-01-01,2002-01-01,2002-01-01,Viet Nam,ShIB2024_440827,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954632,ERR025716,1979-01-01,1979-01-01,1979-01-01,France,ShIB48279_440830,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954603,ERR025717,2002-01-01,2002-01-01,2002-01-01,Pakistan,ShIB3277_440831,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
SAMEA954770,ERR025718,2002-01-01,2002-01-01,2002-01-01,Pakistan,ShIB3300_440832,Faeces,ILLUMINA,Illumina Genome Analyzer II,WGS
