sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN16354230,SRR12765456,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,995337,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,09,,,,False
SAMN16354262,SRR12765483,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,995838,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,09,,,,False
SAMN16354272,SRR12765496,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,995785,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,09,,,,False
SAMN16363894,SRR12769732,2020-03,2020-03-01,2020-03-31,United Kingdom: United Kingdom,905442,other,ILLUMINA,Illumina HiSeq 2500,WGS,2020,03,,,,False
SAMN16363916,SRR12769779,2020-01,2020-01-01,2020-01-31,United Kingdom: United Kingdom,874914,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,01,,,,False
SAMN16364031,SRR12769883,2020-08,2020-07-31,2020-08-31,United Kingdom: United Kingdom,976683,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,08,,,,False
SAMN16364060,SRR12769938,2020-09,2020-08-31,2020-09-30,United Kingdom: United Kingdom,990343,other,ILLUMINA,Illumina HiSeq 2500,WGS,2020,09,,,,False
SAMN16364094,SRR12769940,2020-06,2020-05-31,2020-06-30,United Kingdom: United Kingdom,952300,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,06,,,,False
SAMN16364124,SRR12769967,2020-07,2020-06-30,2020-07-31,United Kingdom: United Kingdom,965676,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,07,,,,False
SAMN16364149,SRR12770010,2020-08,2020-07-31,2020-08-31,United Kingdom: United Kingdom,974565,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,08,,,,False
SAMD00204261,DRR213123,2018-06-01,2018-05-31,2018-06-01,Japan,DHL2,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMD00204264,DRR213126,2018-06-01,2018-05-31,2018-06-01,Japan,DHL5,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMD00204265,DRR213127,2019-04-02,2019-04-01,2019-04-02,Japan,DHL6,,ILLUMINA,Illumina MiSeq,WGS,2019,04,02,,,False
SAMD00204269,DRR213131,2018-06-01,2018-05-31,2018-06-01,Japan,WT-1,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMN18410372,SRR14029808,2020-04-29,2020-04-28,2020-04-29,USA:CA,MJ-2162-2,cattle feces (Bos taurus),ILLUMINA,Illumina MiSeq,WGS,2020,04,29,CA,9.0,False
SAMD00204260,DRR213122,2018-06-01,2018-05-31,2018-06-01,Japan,DHL1,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMD00204262,DRR213124,2018-06-01,2018-05-31,2018-06-01,Japan,DHL3,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMD00204263,DRR213125,2018-06-01,2018-05-31,2018-06-01,Japan,DHL4,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMD00204266,DRR213128,2019-04-02,2019-04-01,2019-04-02,Japan,DHL8,,ILLUMINA,Illumina MiSeq,WGS,2019,04,02,,,False
SAMD00204267,DRR213129,2019-04-02,2019-04-01,2019-04-02,Japan,DHL9,,ILLUMINA,Illumina MiSeq,WGS,2019,04,02,,,False
SAMD00204268,DRR213130,2019-04-02,2019-04-01,2019-04-02,Japan,DHL11,,ILLUMINA,Illumina MiSeq,WGS,2019,04,02,,,False
SAMD00204270,DRR213132,2018-06-01,2018-05-31,2018-06-01,Japan,WT-2,,ILLUMINA,Illumina MiSeq,WGS,2018,06,01,,,False
SAMN19222227,SRR14554410,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1175527,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN19222229,SRR14554423,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1175454,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN19222225,SRR14554561,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1175465,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20013950,SRR15031013,2021-06,2021-05-31,2021-06-30,United Kingdom: United Kingdom,1240217,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,06,,,,False
SAMN20054820,SRR15035462,2021-06,2021-05-31,2021-06-30,United Kingdom: United Kingdom,1241538,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,06,,,,False
SAMN20550744,SRR15338001,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1120330,other,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20550756,SRR15338040,2021-06,2021-05-31,2021-06-30,United Kingdom: United Kingdom,1207956,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,06,,,,False
SAMN20550853,SRR15338050,2020-10,2020-09-30,2020-10-31,United Kingdom: United Kingdom,1007464,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,10,,,,False
SAMN20550913,SRR15338103,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1120319,other,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20550542,SRR15338120,2021-01,2021-01-01,2021-01-31,United Kingdom: United Kingdom,1070653,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,01,,,,False
SAMN20551386,SRR15338152,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1187091,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550508,SRR15338164,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1104762,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20551019,SRR15338180,2020-10,2020-09-30,2020-10-31,United Kingdom: United Kingdom,1007418,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,10,,,,False
SAMN20550890,SRR15338181,2020-12,2020-12-01,2020-12-31,United Kingdom: United Kingdom,1051430,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,12,,,,False
SAMN20555456,SRR15340125,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1187022,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20584262,SRR15345850,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1116866,other,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20602940,SRR15361504,2019-06,2019-05-31,2019-06-30,United Kingdom: United Kingdom,767710,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,06,,,,False
SAMN20606653,SRR15366002,2019-01,2019-01-01,2019-01-31,United Kingdom: United Kingdom,682230,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,01,,,,False
SAMN20606751,SRR15366018,2019-08,2019-07-31,2019-08-31,United Kingdom: United Kingdom,806276,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,08,,,,False
SAMN20606629,SRR15366027,2019-03,2019-03-01,2019-03-31,United Kingdom: United Kingdom,720687,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,03,,,,False
SAMN20606692,SRR15366051,2021-07,2021-06-30,2021-07-31,United Kingdom: United Kingdom,1305501,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,07,,,,False
SAMN20550416,SRR15366935,2020-12,2020-12-01,2020-12-31,United Kingdom: United Kingdom,1051402,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,12,,,,False
SAMN20665686,SRR15369433,2021-07,2021-06-30,2021-07-31,United Kingdom: United Kingdom,1306297,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,07,,,,False
SAMD00495873,DRR381609,2013-08-26,2013-08-25,2013-08-26,Japan,1_140016,,ILLUMINA,Illumina MiSeq,WGS,2013,08,26,,,False
SAMD00495874,DRR381610,2013-10-18,2013-10-17,2013-10-18,Japan,2_140021,,ILLUMINA,Illumina MiSeq,WGS,2013,10,18,,,False
SAMD00495886,DRR381622,2013-10-16,2013-10-15,2013-10-16,Japan,14_140359,,ILLUMINA,Illumina MiSeq,WGS,2013,10,16,,,False
SAMD00495887,DRR381623,2014-01-27,2014-01-27,2014-01-27,Japan,15_140425,,ILLUMINA,Illumina MiSeq,WGS,2014,01,27,,,False
SAMD00495892,DRR381628,2014-06-14,2014-06-13,2014-06-14,Japan,20_140694,,ILLUMINA,Illumina MiSeq,WGS,2014,06,14,,,False
SAMD00495893,DRR381629,2014-06-22,2014-06-21,2014-06-22,Japan,21_140699,,ILLUMINA,Illumina MiSeq,WGS,2014,06,22,,,False
SAMD00495899,DRR381635,2014-05-21,2014-05-20,2014-05-21,Japan,27_141091,,ILLUMINA,Illumina MiSeq,WGS,2014,05,21,,,False
SAMD00495900,DRR381636,2014-05-27,2014-05-26,2014-05-27,Japan,28_141122,,ILLUMINA,Illumina MiSeq,WGS,2014,05,27,,,False
SAMD00495902,DRR381638,2014-07-22,2014-07-21,2014-07-22,Japan,30_141238,,ILLUMINA,Illumina MiSeq,WGS,2014,07,22,,,False
SAMD00495904,DRR381640,2014-07-17,2014-07-16,2014-07-17,Japan,32_141254,,ILLUMINA,Illumina MiSeq,WGS,2014,07,17,,,False
SAMD00495905,DRR381641,2014-07-24,2014-07-23,2014-07-24,Japan,33_141255,,ILLUMINA,Illumina MiSeq,WGS,2014,07,24,,,False
SAMD00495907,DRR381643,2014-08-07,2014-08-06,2014-08-07,Japan,35_141481,,ILLUMINA,Illumina MiSeq,WGS,2014,08,07,,,False
SAMD00495911,DRR381647,2014-08-13,2014-08-12,2014-08-13,Japan,39_141704,,ILLUMINA,Illumina MiSeq,WGS,2014,08,13,,,False
SAMD00495913,DRR381649,2014-08-23,2014-08-22,2014-08-23,Japan,41_141932,,ILLUMINA,Illumina MiSeq,WGS,2014,08,23,,,False
SAMD00495918,DRR381654,2014-10-02,2014-10-01,2014-10-02,Japan,46_142131,,ILLUMINA,Illumina MiSeq,WGS,2014,10,02,,,False
SAMD00495920,DRR381656,2014-09-29,2014-09-28,2014-09-29,Japan,48_142247,,ILLUMINA,Illumina MiSeq,WGS,2014,09,29,,,False
SAMD00495921,DRR381657,2014-09-24,2014-09-23,2014-09-24,Japan,49_142250,,ILLUMINA,Illumina MiSeq,WGS,2014,09,24,,,False
SAMD00495925,DRR381661,2014-07-07,2014-07-06,2014-07-07,Japan,53_142304,,ILLUMINA,Illumina MiSeq,WGS,2014,07,07,,,False
SAMD00495926,DRR381662,2014-08-26,2014-08-25,2014-08-26,Japan,54_142373,,ILLUMINA,Illumina MiSeq,WGS,2014,08,26,,,False
SAMD00495927,DRR381663,2014-10-12,2014-10-11,2014-10-12,Japan,55_142397,,ILLUMINA,Illumina MiSeq,WGS,2014,10,12,,,False
SAMD00495928,DRR381664,2014-10-03,2014-10-02,2014-10-03,Japan,56_142409,,ILLUMINA,Illumina MiSeq,WGS,2014,10,03,,,False
SAMD00495930,DRR381666,2014-11-04,2014-11-04,2014-11-04,Japan,58_142496,,ILLUMINA,Illumina MiSeq,WGS,2014,11,04,,,False
SAMD00495932,DRR381668,2013-10-09,2013-10-08,2013-10-09,Japan,60_142633,,ILLUMINA,Illumina MiSeq,WGS,2013,10,09,,,False
SAMD00495933,DRR381669,2014-12-27,2014-12-27,2014-12-27,Japan,61_150228,,ILLUMINA,Illumina MiSeq,WGS,2014,12,27,,,False
SAMD00495935,DRR381671,2014-12-05,2014-12-05,2014-12-05,Japan,63_150269,,ILLUMINA,Illumina MiSeq,WGS,2014,12,05,,,False
SAMD00495938,DRR381674,2013-11-29,2013-11-29,2013-11-29,Japan,66_150900,,ILLUMINA,Illumina MiSeq,WGS,2013,11,29,,,False
SAMD00495939,DRR381675,2014-08-13,2014-08-12,2014-08-13,Japan,67_150905,,ILLUMINA,Illumina MiSeq,WGS,2014,08,13,,,False
SAMD00495940,DRR381676,2014-09-03,2014-09-02,2014-09-03,Japan,68_150910,,ILLUMINA,Illumina MiSeq,WGS,2014,09,03,,,False
SAMD00495943,DRR381679,2015-08-13,2015-08-12,2015-08-13,Japan,71_152159,,ILLUMINA,Illumina MiSeq,WGS,2015,08,13,,,False
SAMD00495946,DRR381682,2016-01-13,2016-01-13,2016-01-13,Japan,74_160289,,ILLUMINA,Illumina MiSeq,WGS,2016,01,13,,,False
SAMD00495948,DRR381684,2015-11-25,2015-11-25,2015-11-25,Japan,76_160383,,ILLUMINA,Illumina MiSeq,WGS,2015,11,25,,,False
SAMD00495952,DRR381688,2016-06-16,2016-06-15,2016-06-16,Japan,80_160886,,ILLUMINA,Illumina MiSeq,WGS,2016,06,16,,,False
SAMD00495958,DRR381694,2016-07-08,2016-07-07,2016-07-08,Japan,86_161070,,ILLUMINA,Illumina MiSeq,WGS,2016,07,08,,,False
SAMD00495959,DRR381695,2016-07-25,2016-07-24,2016-07-25,Japan,87_161104,,ILLUMINA,Illumina MiSeq,WGS,2016,07,25,,,False
SAMD00495966,DRR381702,2016-08-22,2016-08-21,2016-08-22,Japan,94_161330,,ILLUMINA,Illumina MiSeq,WGS,2016,08,22,,,False
SAMD00495967,DRR381703,2016-07-29,2016-07-28,2016-07-29,Japan,95_161626,,ILLUMINA,Illumina MiSeq,WGS,2016,07,29,,,False
SAMD00495969,DRR381705,2016-08-30,2016-08-29,2016-08-30,Japan,97_161789,,ILLUMINA,Illumina MiSeq,WGS,2016,08,30,,,False
SAMD00495975,DRR381711,2016-10-04,2016-10-03,2016-10-04,Japan,103_162083,,ILLUMINA,Illumina MiSeq,WGS,2016,10,04,,,False
SAMD00495979,DRR381715,2016-09-27,2016-09-26,2016-09-27,Japan,107_162202,,ILLUMINA,Illumina MiSeq,WGS,2016,09,27,,,False
SAMD00495985,DRR381721,2016-11-15,2016-11-15,2016-11-15,Japan,113_162645,,ILLUMINA,Illumina MiSeq,WGS,2016,11,15,,,False
