sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMD00495898,DRR381755,2014-05-02,2014-05-01,2014-05-02,Japan,26_141088,,OXFORD_NANOPORE,MinION,WGS,2014,05,02,,,True
SAMD00495876,DRR381612,2013-10-17,2013-10-16,2013-10-17,Japan,4_140024,,ILLUMINA,Illumina MiSeq,WGS,2013,10,17,,,False
SAMD00495877,DRR381613,2013-08-18,2013-08-17,2013-08-18,Japan,5_140072,,ILLUMINA,Illumina MiSeq,WGS,2013,08,18,,,False
SAMD00495878,DRR381614,2013-11,2013-11-01,2013-11-30,Japan,6_140133,,ILLUMINA,Illumina MiSeq,WGS,2013,11,,,,False
SAMD00495880,DRR381616,2014-01-10,2014-01-10,2014-01-10,Japan,8_140198,,ILLUMINA,Illumina MiSeq,WGS,2014,01,10,,,False
SAMD00495881,DRR381617,2013-11-04,2013-11-04,2013-11-04,Japan,9_140203,,ILLUMINA,Illumina MiSeq,WGS,2013,11,04,,,False
SAMD00495882,DRR381618,2013-12-16,2013-12-16,2013-12-16,Japan,10_140227,,ILLUMINA,Illumina MiSeq,WGS,2013,12,16,,,False
SAMD00495885,DRR381621,2013-07-22,2013-07-21,2013-07-22,Japan,13_140328,,ILLUMINA,Illumina MiSeq,WGS,2013,07,22,,,False
SAMD00495889,DRR381625,2013-10-25,2013-10-24,2013-10-25,Japan,17_140557,,ILLUMINA,Illumina MiSeq,WGS,2013,10,25,,,False
SAMD00495894,DRR381630,2014-05-26,2014-05-25,2014-05-26,Japan,22_140737,,ILLUMINA,Illumina MiSeq,WGS,2014,05,26,,,False
SAMD00495897,DRR381633,2014-07-01,2014-06-30,2014-07-01,Japan,25_141033,,ILLUMINA,Illumina MiSeq,WGS,2014,07,01,,,False
SAMD00495903,DRR381639,2014-07-07,2014-07-06,2014-07-07,Japan,31_141240,,ILLUMINA,Illumina MiSeq,WGS,2014,07,07,,,False
SAMD00495906,DRR381642,2014-08-18,2014-08-17,2014-08-18,Japan,34_141449,,ILLUMINA,Illumina MiSeq,WGS,2014,08,18,,,False
SAMD00495908,DRR381644,2014-08-11,2014-08-10,2014-08-11,Japan,36_141487,,ILLUMINA,Illumina MiSeq,WGS,2014,08,11,,,False
SAMD00495910,DRR381646,2014-07-25,2014-07-24,2014-07-25,Japan,38_141594,,ILLUMINA,Illumina MiSeq,WGS,2014,07,25,,,False
SAMD00495915,DRR381651,2014-09-12,2014-09-11,2014-09-12,Japan,43_142038,,ILLUMINA,Illumina MiSeq,WGS,2014,09,12,,,False
SAMD00495922,DRR381658,2014-01-22,2014-01-22,2014-01-22,Japan,50_142286,,ILLUMINA,Illumina MiSeq,WGS,2014,01,22,,,False
SAMD00495924,DRR381660,2014-09-08,2014-09-07,2014-09-08,Japan,52_142294,,ILLUMINA,Illumina MiSeq,WGS,2014,09,08,,,False
SAMD00495929,DRR381665,2014-11-06,2014-11-06,2014-11-06,Japan,57_142493,,ILLUMINA,Illumina MiSeq,WGS,2014,11,06,,,False
SAMD00495931,DRR381667,2014-10-28,2014-10-28,2014-10-28,Japan,59_142497,,ILLUMINA,Illumina MiSeq,WGS,2014,10,28,,,False
SAMD00495936,DRR381672,2014-06-02,2014-06-01,2014-06-02,Japan,64_150405,,ILLUMINA,Illumina MiSeq,WGS,2014,06,02,,,False
SAMD00495949,DRR381685,2016-04-29,2016-04-28,2016-04-29,Japan,77_160414,,ILLUMINA,Illumina MiSeq,WGS,2016,04,29,,,False
SAMD00495950,DRR381686,2016-03-17,2016-03-17,2016-03-17,Japan,78_160435,,ILLUMINA,Illumina MiSeq,WGS,2016,03,17,,,False
SAMD00495953,DRR381689,2016-07-08,2016-07-07,2016-07-08,Japan,81_160887,,ILLUMINA,Illumina MiSeq,WGS,2016,07,08,,,False
SAMD00495954,DRR381690,2016-06-10,2016-06-09,2016-06-10,Japan,82_160926,,ILLUMINA,Illumina MiSeq,WGS,2016,06,10,,,False
SAMD00495955,DRR381691,2016-06-13,2016-06-12,2016-06-13,Japan,83_161007,,ILLUMINA,Illumina MiSeq,WGS,2016,06,13,,,False
SAMD00495956,DRR381692,2016-05-11,2016-05-10,2016-05-11,Japan,84_161023,,ILLUMINA,Illumina MiSeq,WGS,2016,05,11,,,False
SAMD00495962,DRR381698,2016-08-10,2016-08-09,2016-08-10,Japan,90_161125,,ILLUMINA,Illumina MiSeq,WGS,2016,08,10,,,False
SAMD00495964,DRR381700,2016-07-01,2016-06-30,2016-07-01,Japan,92_161220,,ILLUMINA,Illumina MiSeq,WGS,2016,07,01,,,False
SAMD00495968,DRR381704,2016-08-17,2016-08-16,2016-08-17,Japan,96_161730,,ILLUMINA,Illumina MiSeq,WGS,2016,08,17,,,False
SAMD00495970,DRR381706,2016-08-08,2016-08-07,2016-08-08,Japan,98_161798,,ILLUMINA,Illumina MiSeq,WGS,2016,08,08,,,False
SAMD00495971,DRR381707,2016-09-15,2016-09-14,2016-09-15,Japan,99_161829,,ILLUMINA,Illumina MiSeq,WGS,2016,09,15,,,False
SAMD00495982,DRR381718,2016-09-27,2016-09-26,2016-09-27,Japan,110_162354,,ILLUMINA,Illumina MiSeq,WGS,2016,09,27,,,False
SAMD00495983,DRR381719,2016-10-11,2016-10-10,2016-10-11,Japan,111_162459,,ILLUMINA,Illumina MiSeq,WGS,2016,10,11,,,False
SAMD00495965,DRR381760,2016-08-18,2016-08-17,2016-08-18,Japan,93_161312,,OXFORD_NANOPORE,MinION,WGS,2016,08,18,,,True
SAMN21554869,SRR16012032,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1439579,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,09,,,,False
SAMN22605384,SRR16598665,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1512041,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22605390,SRR16598720,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507352,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22605401,SRR16598731,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1512042,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22605404,SRR16598732,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1507368,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN22657183,SRR16612615,2021-09,2021-08-31,2021-09-30,United Kingdom: United Kingdom,1502228,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,09,,,,False
SAMN22657137,SRR16612618,2021-10,2021-09-30,2021-10-31,United Kingdom: United Kingdom,1512692,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,10,,,,False
SAMN23135562,SRR16941009,2021-11,2021-11-01,2021-11-30,United Kingdom: United Kingdom,1525863,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,11,,,,False
SAMN23135601,SRR16941040,2021-11,2021-11-01,2021-11-30,United Kingdom: United Kingdom,1524621,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,11,,,,False
SAMN24286949,SRR17296975,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1550724,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24286931,SRR17296980,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1550745,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN24286947,SRR17296982,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1550786,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False
SAMN25638256,SRR17873840,2022-01,2022-01-01,2022-01-31,United Kingdom: United Kingdom,1571016,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,01,,,,False
SAMN25937325,SRR18016417,2022-01,2022-01-01,2022-01-31,USA:TN,PNUSAE094550,Spring Water,ILLUMINA,Illumina MiSeq,WGS,2022,01,,TN,4.0,False
SAMN26722549,SRR18337571,2020-07-13,2020-07-12,2020-07-13,USA:OH,AG21-0557,cabbage,ILLUMINA,Illumina MiSeq,WGS,2020,07,13,OH,5.0,False
SAMN26722546,SRR18337574,2020-01-31,2020-01-31,2020-01-31,USA:OH,AG21-0554,soil,ILLUMINA,Illumina MiSeq,WGS,2020,01,31,OH,5.0,False
SAMN26722544,SRR18337576,2020-01-31,2020-01-31,2020-01-31,USA:OH,AG21-0552,soil,ILLUMINA,Illumina MiSeq,WGS,2020,01,31,OH,5.0,False
SAMN26797683,SRR18350746,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1597143,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN26855445,SRR18402545,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1600140,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN26855442,SRR18402560,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1598278,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN26855376,SRR18402561,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1599369,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN26977539,SRR18488097,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1602612,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN27023994,SRR18506933,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1603863,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN27024011,SRR18506940,2022-03,2022-03-01,2022-03-31,United Kingdom: United Kingdom,1603824,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,03,,,,False
SAMN27401674,SRR18672700,2019-05-03,2019-05-02,2019-05-03,USA:OH,AG21-0541,soil,ILLUMINA,Illumina MiSeq,WGS,2019,05,03,OH,5.0,False
SAMN27401671,SRR18672703,2019-09-14,2019-09-13,2019-09-14,USA:OH,AG21-0538,beets,ILLUMINA,Illumina MiSeq,WGS,2019,09,14,OH,5.0,False
SAMN27401669,SRR18672705,2019-09-07,2019-09-06,2019-09-07,USA:OH,AG21-0536,soil,ILLUMINA,Illumina MiSeq,WGS,2019,09,07,OH,5.0,False
SAMN27401668,SRR18672706,2019-09-07,2019-09-06,2019-09-07,USA:OH,AG21-0535,soil,ILLUMINA,Illumina MiSeq,WGS,2019,09,07,OH,5.0,False
SAMN27401680,SRR18672711,2019-09-27,2019-09-26,2019-09-27,USA:OH,AG21-0547,manure,ILLUMINA,Illumina MiSeq,WGS,2019,09,27,OH,5.0,False
SAMN27401679,SRR18672712,2019-09-27,2019-09-26,2019-09-27,USA:OH,AG21-0546,manure,ILLUMINA,Illumina MiSeq,WGS,2019,09,27,OH,5.0,False
SAMN27401675,SRR18672716,2019-06-28,2019-06-27,2019-06-28,USA:OH,AG21-0542,manure,ILLUMINA,Illumina MiSeq,WGS,2019,06,28,OH,5.0,False
SAMN27401665,SRR18672718,2019-04-27,2019-04-26,2019-04-27,USA:OH,AG21-0532,soil,ILLUMINA,Illumina MiSeq,WGS,2019,04,27,OH,5.0,False
SAMN27740083,SRR18893212,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1616396,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN27740465,SRR18893219,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1616313,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN27740532,SRR18893594,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1616451,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN27740533,SRR18893596,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1616393,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN27740527,SRR18893658,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1616465,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN27959627,SRR18964862,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1617991,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28017515,SRR19023128,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1622936,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28017518,SRR19023132,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1622902,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28017512,SRR19023138,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1622312,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28102780,SRR19100526,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1623299,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28102771,SRR19100539,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1623293,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28102768,SRR19100549,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1623338,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28102785,SRR19100590,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1623806,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
SAMN28156139,SRR19139236,2022-04,2022-03-31,2022-04-30,United Kingdom: United Kingdom,1625369,human,ILLUMINA,Illumina HiSeq 2500,WGS,2022,04,,,,False
