sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN19227895,SRR14559767,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1176765,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN19904578,SRR14928991,2021-06,2021-05-31,2021-06-30,United Kingdom: United Kingdom,1229711,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,06,,,,False
SAMN20550623,SRR15338036,2021-01,2021-01-01,2021-01-31,United Kingdom: United Kingdom,1070647,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,01,,,,False
SAMN20550988,SRR15338055,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180044,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550515,SRR15338061,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1112458,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20550558,SRR15338075,2021-02,2021-02-01,2021-02-28,United Kingdom: United Kingdom,1112455,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,02,,,,False
SAMN20550908,SRR15338088,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180018,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550471,SRR15338090,2020-10,2020-09-30,2020-10-31,United Kingdom: United Kingdom,1005388,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,10,,,,False
SAMN20550419,SRR15338096,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1176737,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550646,SRR15338097,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180041,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False
SAMN20550974,SRR15338098,2020-12,2020-12-01,2020-12-31,United Kingdom: United Kingdom,1051381,human,ILLUMINA,Illumina HiSeq 2500,WGS,2020,12,,,,False
SAMN20550573,SRR15338114,2021-01,2021-01-01,2021-01-31,United Kingdom: United Kingdom,1070630,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,01,,,,False
