name,date
SAMN16363722,2019-11
SAMN16363733,2020-09
SAMN16363925,2019-12
SAMN16363930,2020-03
SAMN16363946,2020-08
SAMN17128934,2018-09
SAMN17128971,2019-10
SAMN20550699,2021-05
SAMN20550819,2021-05
SAMN20550965,2021-05
SAMN20550452,2021-05
SAMN20550482,2021-05
SAMN20555815,2021-05
SAMN20555453,2021-04
SAMN20550398,2021-05
SAMN20603101,2019-12
SAMN20603106,2019-10
SAMN20603085,2019-09
SAMN20606645,2019-01
SAMN20606811,2019-05
SAMN20550400,2021-05
SAMN20748579,2017-04
SAMN21576294,2021-09
SAMN21579005,2021-09
SAMD00532223,2013-07-12
SAMN22605387,2021-10
SAMN22605394,2021-10
SAMN22657097,2021-10
SAMN22657124,2021-09
SAMN22962688,2021-10
SAMN23135599,2021-11
SAMN24118989,2021-12
SAMN24286932,2021-12
SAMN24337835,2019-09-17
SAMN24337872,2018-09-17
SAMN24337870,2017-10-24
SAMN24337867,2018-08-06
SAMN24337854,2017-08-04
SAMN24337844,2018-03-12
SAMN24337843,2018-08-04
SAMN24337900,2021-01-18
SAMN24337899,2021-05-18
SAMN24337888,2017-04-04
SAMN24369412,2021-12
SAMN24369533,2021-12
SAMEA954622,2005-01-01
SAMEA954620,2006-01-01
SAMEA954539,2000-01-01
SAMEA954545,2001-01-01
SAMEA954541,2004-01-01
SAMEA954743,2004-01-01
SAMEA954619,2006-01-01
SAMEA954739,2006-01-01
SAMEA954691,2003-01-01
SAMEA954637,2000-01-01
SAMEA954836,2003-01-01
SAMEA954738,1994-01-01
SAMEA954638,1998-01-01
SAMN24386973,2021-12
SAMN24386981,2021-12
SAMN24405084,2021-12
SAMN24539578,2021-12
SAMN24539580,2021-12
SAMEA954854,1981-01-01
SAMEA954573,1987-01-01
SAMEA954578,2003-01-01
SAMEA954628,2003-01-01
SAMEA954623,2003-01-01
SAMEA954624,2003-01-01
SAMEA954606,2003-01-01
SAMEA954617,1945-01-01
SAMEA954583,1943-01-01
SAMEA954704,1966-01-01
SAMEA954801,1983-01-01
SAMEA954676,1973-01-01
SAMEA954805,1998-01-01
SAMEA954745,2003-01-01
SAMEA954747,2003-01-01
SAMEA954595,1991-01-01
SAMEA954594,1992-01-01
SAMEA954621,1997-01-01
SAMEA954546,2002-01-01
SAMEA954543,2005-01-01
SAMEA954544,1990-01-01
SAMEA954821,2000-01-01
SAMEA954819,2000-01-01
SAMEA954742,2005-01-01
SAMEA954741,2006-01-01
SAMEA954634,2006-01-01
SAMEA954639,2006-01-01
SAMEA954635,1979-01-01
SAMEA954834,2003-01-01
SAMEA954625,2005-01-01
SAMEA954626,1991-01-01
SAMEA954631,2004-01-01
SAMEA954630,2004-01-01
SAMEA954540,2001-01-01
SAMEA954581,1998-01-01
SAMEA954823,2006-01-01
SAMEA954863,1980-01-01
SAMEA954855,1981-01-01
SAMEA954576,1985-01-01
SAMEA954790,2001-01-01
SAMEA954570,2002-01-01
SAMEA954817,2003-01-01
SAMEA954859,2003-01-01
SAMEA954853,2003-01-01
SAMEA954547,2002-01-01
SAMEA954632,1979-01-01
SAMEA954603,2002-01-01
SAMEA954770,2002-01-01
SAMEA954769,2002-01-01
SAMEA954605,1979-01-01
SAMEA954725,1945-01-01
SAMEA954705,1958-01-01
SAMEA954672,1967-01-01
SAMEA954706,1959-01-01
SAMEA954674,1973-01-01
SAMEA954671,1974-01-01
SAMEA954809,1998-01-01
SAMEA954659,2010-04-27
SAMEA954580,2010-07-04
SAMEA1027673,2002-12-08
SAMEA1027662,2007-01-21
SAMEA1027678,2007-04-18
SAMEA1027717,2007-04-22
SAMEA1027672,1996-04-18
SAMEA1027729,2003-03-08
SAMEA1027734,1995-02-01
SAMN26101803,2022-02
SAMN26101810,2022-02
SAMEA954644,2010-06-10
SAMEA954646,2010-08-08
SAMEA1013673,2009-02-24
SAMEA1027649,2007-02-22
SAMEA1027706,2007-05-01
SAMEA1027703,1996-05-30
SAMEA1027688,1996-07-04
SAMEA1027648,1996-07-24
SAMEA1027669,1995-11-07
SAMN26199581,2022-02
SAMN26199580,2022-02
SAMN26199602,2022-02
SAMN26234310,2022-02
SAMEA1013731,2007-02-15
SAMEA1013718,2008-06-09
SAMEA1013601,2008-11-23
SAMEA1013658,2009-06-06
SAMEA1013679,2009-02-15
SAMN26285648,2022-02
SAMN26285651,2022-02
SAMN26285657,2022-02
SAMN26366633,2022-02
SAMN26440683,2022-02
SAMEA110466517,2012-07-05
SAMEA110466522,2012-04-19
SAMEA110466533,2012-02-01
SAMEA110466556,2012-06-07
