,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
0,SAMEA4644816,ERR7420525,2014-03,2014-03-01,2014-03-31,United Kingdom,,Caecal Content,ILLUMINA,Illumina HiSeq 2000,WGS,2014,03,,,,False,Clade B
1,SAMD00127153,DRR138473,2018-02-07,2018-02-07,2018-02-07,Thailand:Bangkok,TM61,,ILLUMINA,Illumina MiSeq,WGS,2018,02,07,,,False,Clade B
2,SAMD00126364,DRR148127,2016-07-29,2016-07-28,2016-07-29,missing,TUM18539,,ILLUMINA,Illumina MiSeq,WGS,2016,07,29,,,False,Clade C1
3,SAMD00126371,DRR148134,2016-09-12,2016-09-11,2016-09-12,missing,TUM18546,,ILLUMINA,Illumina MiSeq,WGS,2016,09,12,,,False,Clade C1
4,SAMD00126376,DRR148139,2016-10-07,2016-10-06,2016-10-07,missing,TUM18551,,ILLUMINA,Illumina MiSeq,WGS,2016,10,07,,,False,Clade C1
5,SAMD00126377,DRR148140,2016-10-21,2016-10-20,2016-10-21,missing,TUM18552,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
6,SAMD00126378,DRR148141,2016-10-21,2016-10-20,2016-10-21,missing,TUM18553,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
7,SAMD00126383,DRR148146,2016-10-21,2016-10-20,2016-10-21,missing,TUM18558,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
8,SAMD00126392,DRR148155,2016-12-15,2016-12-15,2016-12-15,missing,TUM18567,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
9,SAMD00126395,DRR148158,2017-01-06,2017-01-06,2017-01-06,missing,TUM18570,,ILLUMINA,Illumina MiSeq,WGS,2017,01,06,,,False,Clade C1
10,SAMD00126398,DRR148161,2017-01-12,2017-01-12,2017-01-12,missing,TUM18573,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
11,SAMD00126400,DRR148163,2017-01-12,2017-01-12,2017-01-12,missing,TUM18575,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
12,SAMD00126401,DRR148164,2017-01-12,2017-01-12,2017-01-12,missing,TUM18576,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
13,SAMD00126404,DRR148167,2017-01-17,2017-01-17,2017-01-17,missing,TUM18579,,ILLUMINA,Illumina MiSeq,WGS,2017,01,17,,,False,Clade B
14,SAMD00126415,DRR148178,2017-02-03,2017-02-03,2017-02-03,missing,TUM18590,,ILLUMINA,Illumina MiSeq,WGS,2017,02,03,,,False,Clade C1
15,SAMD00126416,DRR148179,2017-02-07,2017-02-07,2017-02-07,missing,TUM18591,,ILLUMINA,Illumina MiSeq,WGS,2017,02,07,,,False,Clade C1
16,SAMD00126419,DRR148182,2017-02-07,2017-02-07,2017-02-07,missing,TUM18594,,ILLUMINA,Illumina MiSeq,WGS,2017,02,07,,,False,Clade C1
17,SAMD00126429,DRR148192,2017-03-17,2017-03-17,2017-03-17,missing,TUM18604,,ILLUMINA,Illumina MiSeq,WGS,2017,03,17,,,False,Clade C1
18,SAMD00126432,DRR148195,2017-03-17,2017-03-17,2017-03-17,missing,TUM18607,,ILLUMINA,Illumina MiSeq,WGS,2017,03,17,,,False,Clade C1
19,SAMD00126446,DRR148209,2017-03-28,2017-03-27,2017-03-28,missing,TUM18621,,ILLUMINA,Illumina MiSeq,WGS,2017,03,28,,,False,Clade C1
20,SAMD00126469,DRR148232,2016-05-24,2016-05-23,2016-05-24,missing,TUM18644,,ILLUMINA,Illumina MiSeq,WGS,2016,05,24,,,False,Clade B
21,SAMD00126491,DRR148254,2016-10-24,2016-10-23,2016-10-24,missing,TUM18666,,ILLUMINA,Illumina MiSeq,WGS,2016,10,24,,,False,Clade C1
22,SAMD00126502,DRR148265,2016-12-09,2016-12-09,2016-12-09,missing,TUM18677,,ILLUMINA,Illumina MiSeq,WGS,2016,12,09,,,False,Clade C1
23,SAMD00126508,DRR148271,2016-12-15,2016-12-15,2016-12-15,missing,TUM18683,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
24,SAMD00126515,DRR148278,2017-01-12,2017-01-12,2017-01-12,missing,TUM18690,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
25,SAMD00126519,DRR148282,2017-01-17,2017-01-17,2017-01-17,missing,TUM18694,,ILLUMINA,Illumina MiSeq,WGS,2017,01,17,,,False,Clade C1
26,SAMD00126522,DRR148285,2017-01-17,2017-01-17,2017-01-17,missing,TUM18697,,ILLUMINA,Illumina MiSeq,WGS,2017,01,17,,,False,Clade C1
27,SAMD00126529,DRR148292,2017-01-24,2017-01-24,2017-01-24,missing,TUM18704,,ILLUMINA,Illumina MiSeq,WGS,2017,01,24,,,False,Clade C1
28,SAMD00126548,DRR148311,2017-02-16,2017-02-16,2017-02-16,missing,TUM18723,,ILLUMINA,Illumina MiSeq,WGS,2017,02,16,,,False,Clade B
29,SAMD00126553,DRR148316,2017-02-24,2017-02-24,2017-02-24,missing,TUM18728,,ILLUMINA,Illumina MiSeq,WGS,2017,02,24,,,False,Unassigned
30,SAMD00126566,DRR148329,2017-03-17,2017-03-17,2017-03-17,missing,TUM18741,,ILLUMINA,Illumina MiSeq,WGS,2017,03,17,,,False,Clade C1
31,SAMD00126574,DRR148337,2017-03-24,2017-03-24,2017-03-24,missing,TUM18749,,ILLUMINA,Illumina MiSeq,WGS,2017,03,24,,,False,Clade C1
32,SAMD00126595,DRR148358,2017-04-05,2017-04-04,2017-04-05,missing,TUM18770,,ILLUMINA,Illumina MiSeq,WGS,2017,04,05,,,False,Clade C1
33,SAMD00126598,DRR148361,2017-04-07,2017-04-06,2017-04-07,missing,TUM18773,,ILLUMINA,Illumina MiSeq,WGS,2017,04,07,,,False,Clade C1
34,SAMD00126359,DRR148122,2016-06-06,2016-06-05,2016-06-06,missing,TUM18534,,ILLUMINA,Illumina MiSeq,WGS,2016,06,06,,,False,Clade C1
35,SAMD00126362,DRR148125,2016-06-15,2016-06-14,2016-06-15,missing,TUM18537,,ILLUMINA,Illumina MiSeq,WGS,2016,06,15,,,False,Clade A
36,SAMD00126379,DRR148142,2016-10-21,2016-10-20,2016-10-21,missing,TUM18554,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
37,SAMD00126381,DRR148144,2016-10-21,2016-10-20,2016-10-21,missing,TUM18556,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
38,SAMD00126382,DRR148145,2016-10-21,2016-10-20,2016-10-21,missing,TUM18557,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
39,SAMD00126384,DRR148147,2016-10-24,2016-10-23,2016-10-24,missing,TUM18559,,ILLUMINA,Illumina MiSeq,WGS,2016,10,24,,,False,Clade C1
40,SAMD00126386,DRR148149,2016-11-28,2016-11-28,2016-11-28,missing,TUM18561,,ILLUMINA,Illumina MiSeq,WGS,2016,11,28,,,False,Clade C1
41,SAMD00126388,DRR148151,2016-12-15,2016-12-15,2016-12-15,missing,TUM18563,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
42,SAMD00126389,DRR148152,2016-12-15,2016-12-15,2016-12-15,missing,TUM18564,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
43,SAMD00126393,DRR148156,2016-12-15,2016-12-15,2016-12-15,missing,TUM18568,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
44,SAMD00126396,DRR148159,2017-01-06,2017-01-06,2017-01-06,missing,TUM18571,,ILLUMINA,Illumina MiSeq,WGS,2017,01,06,,,False,Clade C1
45,SAMD00126402,DRR148165,2017-01-12,2017-01-12,2017-01-12,missing,TUM18577,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
46,SAMD00126406,DRR148169,2017-01-24,2017-01-24,2017-01-24,missing,TUM18581,,ILLUMINA,Illumina MiSeq,WGS,2017,01,24,,,False,Clade C1
47,SAMD00126409,DRR148172,2017-01-31,2017-01-31,2017-01-31,missing,TUM18584,,ILLUMINA,Illumina MiSeq,WGS,2017,01,31,,,False,Clade C1
48,SAMD00126412,DRR148175,2017-01-31,2017-01-31,2017-01-31,missing,TUM18587,,ILLUMINA,Illumina MiSeq,WGS,2017,01,31,,,False,Clade C1
49,SAMD00126423,DRR148186,2017-02-24,2017-02-24,2017-02-24,missing,TUM18598,,ILLUMINA,Illumina MiSeq,WGS,2017,02,24,,,False,Clade C1
50,SAMD00126424,DRR148187,2017-03-14,2017-03-14,2017-03-14,missing,TUM18599,,ILLUMINA,Illumina MiSeq,WGS,2017,03,14,,,False,Clade C1
51,SAMD00126425,DRR148188,2017-03-14,2017-03-14,2017-03-14,missing,TUM18600,,ILLUMINA,Illumina MiSeq,WGS,2017,03,14,,,False,Clade C1
52,SAMD00126442,DRR148205,2017-03-28,2017-03-27,2017-03-28,missing,TUM18617,,ILLUMINA,Illumina MiSeq,WGS,2017,03,28,,,False,Clade C1
53,SAMD00126444,DRR148207,2017-03-28,2017-03-27,2017-03-28,missing,TUM18619,,ILLUMINA,Illumina MiSeq,WGS,2017,03,28,,,False,Clade C1
54,SAMD00126451,DRR148214,2017-03-31,2017-03-30,2017-03-31,missing,TUM18626,,ILLUMINA,Illumina MiSeq,WGS,2017,03,31,,,False,Clade C1
55,SAMD00126453,DRR148216,2017-04-05,2017-04-04,2017-04-05,missing,TUM18628,,ILLUMINA,Illumina MiSeq,WGS,2017,04,05,,,False,Clade C1
56,SAMD00126455,DRR148218,2017-04-05,2017-04-04,2017-04-05,missing,TUM18630,,ILLUMINA,Illumina MiSeq,WGS,2017,04,05,,,False,Clade C1
57,SAMD00126489,DRR148252,2016-10-21,2016-10-20,2016-10-21,missing,TUM18664,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
58,SAMD00126490,DRR148253,2016-10-24,2016-10-23,2016-10-24,missing,TUM18665,,ILLUMINA,Illumina MiSeq,WGS,2016,10,24,,,False,Clade C1
59,SAMD00126501,DRR148264,2016-12-09,2016-12-09,2016-12-09,missing,TUM18676,,ILLUMINA,Illumina MiSeq,WGS,2016,12,09,,,False,Clade C1
60,SAMD00126514,DRR148277,2017-01-12,2017-01-12,2017-01-12,missing,TUM18689,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
61,SAMD00126523,DRR148286,2017-01-17,2017-01-17,2017-01-17,missing,TUM18698,,ILLUMINA,Illumina MiSeq,WGS,2017,01,17,,,False,Clade B
62,SAMD00126526,DRR148289,2017-01-24,2017-01-24,2017-01-24,missing,TUM18701,,ILLUMINA,Illumina MiSeq,WGS,2017,01,24,,,False,Clade C1
63,SAMD00126535,DRR148298,2017-01-27,2017-01-27,2017-01-27,missing,TUM18710,,ILLUMINA,Illumina MiSeq,WGS,2017,01,27,,,False,Clade C1
64,SAMD00126543,DRR148306,2017-02-07,2017-02-07,2017-02-07,missing,TUM18718,,ILLUMINA,Illumina MiSeq,WGS,2017,02,07,,,False,Clade A
65,SAMD00126564,DRR148327,2017-03-14,2017-03-14,2017-03-14,missing,TUM18739,,ILLUMINA,Illumina MiSeq,WGS,2017,03,14,,,False,Clade C1
66,SAMD00126584,DRR148347,2017-03-31,2017-03-30,2017-03-31,missing,TUM18759,,ILLUMINA,Illumina MiSeq,WGS,2017,03,31,,,False,Clade C1
67,SAMD00126585,DRR148348,2017-03-31,2017-03-30,2017-03-31,missing,TUM18760,,ILLUMINA,Illumina MiSeq,WGS,2017,03,31,,,False,Clade C1
68,SAMD00126586,DRR148349,2017-03-31,2017-03-30,2017-03-31,missing,TUM18761,,ILLUMINA,Illumina MiSeq,WGS,2017,03,31,,,False,Clade C1
69,SAMD00126594,DRR148357,2017-04-05,2017-04-04,2017-04-05,missing,TUM18769,,ILLUMINA,Illumina MiSeq,WGS,2017,04,05,,,False,Clade C1
70,SAMD00126600,DRR148363,2017-04-11,2017-04-10,2017-04-11,missing,TUM18775,,ILLUMINA,Illumina MiSeq,WGS,2017,04,11,,,False,Clade B
71,SAMD00126602,DRR148365,2017-04-18,2017-04-17,2017-04-18,missing,TUM18777,,ILLUMINA,Illumina MiSeq,WGS,2017,04,18,,,False,Clade C1
72,SAMD00126603,DRR148366,2017-04-21,2017-04-20,2017-04-21,missing,TUM18778,,ILLUMINA,Illumina MiSeq,WGS,2017,04,21,,,False,Clade C1
73,SAMD00186875,DRR192222,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E303,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
74,SAMD00186877,DRR192224,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E305,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
75,SAMD00186878,DRR192225,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E307,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
76,SAMD00186879,DRR192226,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E309,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
77,SAMD00186881,DRR192228,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E311,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
78,SAMD00186886,DRR192233,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E319,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
79,SAMD00186887,DRR192234,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E321,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
80,SAMD00186854,DRR193895,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E067,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade A
81,SAMD00186866,DRR193904,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E218,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade C1
82,SAMD00186873,DRR193909,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E301,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade C1
83,SAMD00186874,DRR193910,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E302,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade C1
84,SAMD00186882,DRR193917,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E312,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade C1
85,SAMD00186855,DRR192202,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E119,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
86,SAMD00186872,DRR192219,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E300,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
87,SAMD00186880,DRR192227,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E310,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
88,SAMD00186883,DRR192230,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E313,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
89,SAMD00194427,DRR199263,2018-08-06,2018-08-05,2018-08-06,Japan:Tokyo,WP3-S18-ESBL-08,,ILLUMINA,NextSeq 500,WGS,2018,08,06,,,False,Clade C1
90,SAMD00186885,DRR192232,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E318,,ILLUMINA,Illumina MiSeq,WGS,2015,12,01,,,False,Clade C1
91,SAMD00194451,DRR199287,2017-07-10,2017-07-09,2017-07-10,Japan:Tokyo,WP4-S17-ESBL-03,,ILLUMINA,NextSeq 500,WGS,2017,07,10,,,False,Clade C1
92,SAMD00186850,DRR193891,2015-12-01,2015-12-01,2015-12-01,Japan:Osaka,E033,,OXFORD_NANOPORE,GridION,WGS,2015,12,01,,,True,Clade C1
93,SAMD00194505,DRR199341,2017-07-10,2017-07-09,2017-07-10,Japan:Tokyo,WP5-S17-ESBL-09,,ILLUMINA,NextSeq 500,WGS,2017,07,10,,,False,Clade C1
94,SAMD00194580,DRR199416,2018-08-06,2018-08-05,2018-08-06,Japan:Tokyo,WP7-S18-ESBL-10,,ILLUMINA,NextSeq 500,WGS,2018,08,06,,,False,Clade A
95,SAMD00195999,DRR199804,2018-05-15,2018-05-14,2018-05-15,Japan:Tokyo,THO-001,,ILLUMINA,NextSeq 500,WGS,2018,05,15,,,False,Clade C1
96,SAMD00196013,DRR199818,2018-07-12,2018-07-11,2018-07-12,Japan:Tokyo,THO-015,,ILLUMINA,NextSeq 500,WGS,2018,07,12,,,False,Clade C1
97,SAMD00196014,DRR199819,2018-07-13,2018-07-12,2018-07-13,Japan:Tokyo,THO-016,,ILLUMINA,NextSeq 500,WGS,2018,07,13,,,False,Clade C1
98,SAMD00194413,DRR199249,2018-02-13,2018-02-13,2018-02-13,Japan:Tokyo,WP3-W18-ESBL-07,,ILLUMINA,NextSeq 500,WGS,2018,02,13,,,False,Clade C1
99,SAMD00194415,DRR199251,2018-02-13,2018-02-13,2018-02-13,Japan:Tokyo,WP3-W18-ESBL-09,,ILLUMINA,NextSeq 500,WGS,2018,02,13,,,False,Clade C1
100,SAMD00194467,DRR199303,2018-02-13,2018-02-13,2018-02-13,Japan:Tokyo,WP4-W18-ESBL-08,,ILLUMINA,NextSeq 500,WGS,2018,02,13,,,False,Clade C1
101,SAMD00194489,DRR199325,2019-02-05,2019-02-05,2019-02-05,Japan:Tokyo,WP4-W19-ESBL-02,,ILLUMINA,NextSeq 500,WGS,2019,02,05,,,False,Clade C1
102,SAMD00194520,DRR199356,2018-02-13,2018-02-13,2018-02-13,Japan:Tokyo,WP5-W18-ESBL-08,,ILLUMINA,NextSeq 500,WGS,2018,02,13,,,False,Clade C1
103,SAMD00194545,DRR199381,2019-02-05,2019-02-05,2019-02-05,Japan:Tokyo,WP5-W19-ESBL-05,,ILLUMINA,NextSeq 500,WGS,2019,02,05,,,False,Clade C1
104,SAMD00220458,DRR223787,2017-08-30,2017-08-29,2017-08-30,Japan:Miyazaki,SewageA-012,,ILLUMINA,Illumina MiSeq,WGS,2017,08,30,,,False,Clade A
105,SAMD00220499,DRR223828,2017-08-30,2017-08-29,2017-08-30,Japan:Miyazaki,SewageA-065,,ILLUMINA,Illumina MiSeq,WGS,2017,08,30,,,False,Clade A
106,SAMD00220557,DRR223886,2017-10-25,2017-10-24,2017-10-25,Japan:Miyazaki,SewageB-039,,ILLUMINA,Illumina MiSeq,WGS,2017,10,25,,,False,Clade B
107,SAMD00220575,DRR223904,2017-10-25,2017-10-24,2017-10-25,Japan:Miyazaki,SewageB-058,,ILLUMINA,Illumina MiSeq,WGS,2017,10,25,,,False,Clade A
108,SAMN20550776,SRR15338153,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1181235,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,05,,,,False,Clade C1
109,SAMN20602271,SRR15359955,2018-08-12,2018-08-11,2018-08-12,Malaysia: Segamat,,feces,ILLUMINA,Illumina MiSeq,WGS,2018,08,12,,,False,Clade C1
110,SAMN20602254,SRR15359969,2020-08-07,2020-08-06,2020-08-07,Malaysia: Segamat,,blood,ILLUMINA,Illumina MiSeq,WGS,2020,08,07,,,False,Clade A
111,SAMN20603035,SRR15361714,2019-07,2019-06-30,2019-07-31,United Kingdom: United Kingdom,786554,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,07,,,,False,Clade C1
112,SAMD00492887,DRR376745,2021-12-08,2021-12-08,2021-12-08,Japan:Tokyo,STN211208-OZ-0m-02,,ILLUMINA,NextSeq 500,WGS,2021,12,08,,,False,Clade C1
113,SAMD00492891,DRR376749,2021-12-08,2021-12-08,2021-12-08,Japan:Tokyo,STN211208-OZ-0m-06,,ILLUMINA,NextSeq 500,WGS,2021,12,08,,,False,Clade C1
114,SAMD00492907,DRR376765,2021-12-08,2021-12-08,2021-12-08,Japan:Tokyo,STN211208-OZ-10m-04,,ILLUMINA,NextSeq 500,WGS,2021,12,08,,,False,Clade C1
115,SAMD00497410,DRR385914,2020-07-02,2020-07-01,2020-07-02,Japan:Hokkaido,JBABADA-19-0046,urine,ILLUMINA,HiSeq X Five,WGS,2020,07,02,,,False,Clade C1
116,SAMD00497532,DRR386036,2019-06-24,2019-06-23,2019-06-24,Japan:Hokkaido,JBABAFF-19-0015,sputum,ILLUMINA,HiSeq X Five,WGS,2019,06,24,,,False,Clade C1
117,SAMD00497690,DRR386194,2019-09-30,2019-09-29,2019-09-30,Japan:Miyagi,JBAEABJ-19-0058,urine,ILLUMINA,HiSeq X Five,WGS,2019,09,30,,,False,Clade C1
118,SAMD00498034,DRR386538,2019-06-28,2019-06-27,2019-06-28,Japan:Gunma,JBBAAAF-19-0002,arterial blood,ILLUMINA,HiSeq X Five,WGS,2019,06,28,,,False,Clade C1
119,SAMD00498037,DRR386541,2019-08-14,2019-08-13,2019-08-14,Japan:Gunma,JBBAAAF-19-0009,venous blood,ILLUMINA,HiSeq X Five,WGS,2019,08,14,,,False,Clade C1
120,SAMD00492886,DRR376744,2021-12-08,2021-12-08,2021-12-08,Japan:Tokyo,STN211208-OZ-0m-01,,ILLUMINA,NextSeq 500,WGS,2021,12,08,,,False,Clade A
121,SAMD00492888,DRR376746,2021-12-08,2021-12-08,2021-12-08,Japan:Tokyo,STN211208-OZ-0m-03,,ILLUMINA,NextSeq 500,WGS,2021,12,08,,,False,Clade C1
122,SAMD00499304,DRR387808,2020-06-11,2020-06-10,2020-06-11,Japan:Kanagawa,JBBEADF-19-0300,arterial blood,ILLUMINA,HiSeq X Five,WGS,2020,06,11,,,False,Clade C1
123,SAMD00499317,DRR387821,2019-04-04,2019-04-03,2019-04-04,Japan:Kanagawa,JBBEAFB-19-0002,venous blood,ILLUMINA,HiSeq X Five,WGS,2019,04,04,,,False,Clade C1
124,SAMD00499637,DRR388141,2019-05-27,2019-05-26,2019-05-27,Japan:Shizuoka,JBCCAAB-19-0003,urine,ILLUMINA,HiSeq X Five,WGS,2019,05,27,,,False,Clade C1
125,SAMD00499644,DRR388148,2019-07-03,2019-07-02,2019-07-03,Japan:Shizuoka,JBCCAAB-19-0026,vaginal secretion,ILLUMINA,HiSeq X Five,WGS,2019,07,03,,,False,Clade B
126,SAMD00499761,DRR388265,2020-05-03,2020-05-02,2020-05-03,Japan:Aichi,JBCDAAB-19-0220,venous blood,ILLUMINA,HiSeq X Five,WGS,2020,05,03,,,False,Clade C1
127,SAMN21549873,SRR16005457,2017-10,2017-09-30,2017-10-31,Japan: Shiga,KUSWP028,treated wastewater,ILLUMINA,Illumina MiSeq,WGS,2017,10,,,,False,Clade C1
128,SAMD00497468,DRR385972,2019-08-13,2019-08-12,2019-08-13,Japan:Hokkaido,JBABADF-19-0054,urine,ILLUMINA,HiSeq X Five,WGS,2019,08,13,,,False,Clade C1
129,SAMD00497531,DRR386035,2019-06-21,2019-06-20,2019-06-21,Japan:Hokkaido,JBABAFF-19-0013,urine,ILLUMINA,HiSeq X Five,WGS,2019,06,21,,,False,Clade C1
130,SAMD00497850,DRR386354,2020-03-05,2020-03-05,2020-03-05,Japan:Yamagata,JBAGABF-19-0061,venous blood,ILLUMINA,HiSeq X Five,WGS,2020,03,05,,,False,Clade C1
131,SAMD00500687,DRR389191,2019-09-25,2019-09-24,2019-09-25,Japan:Hyogo,JBCIAAH-19-0284,urine from catheter,ILLUMINA,HiSeq X Five,WGS,2019,09,25,,,False,Clade C1
132,SAMD00500779,DRR389283,2020-02-21,2020-02-21,2020-02-21,Japan:Hyogo,JBCIAAI-19-0094,urine,ILLUMINA,Illumina MiniSeq,WGS,2020,02,21,,,False,Clade C1
133,SAMD00500906,DRR389410,2019-07-01,2019-06-30,2019-07-01,Japan:Hyogo,JBCIACE-19-0098,venous blood,ILLUMINA,HiSeq X Five,WGS,2019,07,01,,,False,Clade B0
134,SAMD00500934,DRR389438,2019-04-02,2019-04-01,2019-04-02,Japan:Hyogo,JBCIAEJ-19-0001,urine,ILLUMINA,HiSeq X Five,WGS,2019,04,02,,,False,Clade C1
135,SAMD00498575,DRR387079,2019-09-02,2019-09-01,2019-09-02,Japan:Tokyo,JBBDAAI-19-0027,urine from indwelling catheter,ILLUMINA,HiSeq X Five,WGS,2019,09,02,,,False,Clade C1
136,SAMD00498605,DRR387109,2020-01-24,2020-01-24,2020-01-24,Japan:Tokyo,JBBDAAJ-19-0095,urine,ILLUMINA,HiSeq X Five,WGS,2020,01,24,,,False,Clade C1
137,SAMD00498622,DRR387126,2019-09-25,2019-09-24,2019-09-25,Japan:Tokyo,JBBDABA-19-0012,urine,ILLUMINA,HiSeq X Five,WGS,2019,09,25,,,False,Clade C1
138,SAMD00498623,DRR387127,2019-10-02,2019-10-01,2019-10-02,Japan:Tokyo,JBBDABA-19-0017,urine,ILLUMINA,HiSeq X Five,WGS,2019,10,02,,,False,Clade A
139,SAMD00501082,DRR389586,2019-05-13,2019-05-12,2019-05-13,Japan:Tottori,JBDBAAB-19-0010,urine,ILLUMINA,HiSeq X Five,WGS,2019,05,13,,,False,Clade C1
140,SAMD00501130,DRR389634,2019-06-13,2019-06-12,2019-06-13,Japan:Shimane,JBDCAAE-19-0021,bile,ILLUMINA,HiSeq X Five,WGS,2019,06,13,,,False,Clade C1
141,SAMD00501140,DRR389644,2019-07-21,2019-07-20,2019-07-21,Japan:Shimane,JBDCAAE-19-0079,urine from catheter,ILLUMINA,HiSeq X Five,WGS,2019,07,21,,,False,Clade C1
142,SAMD00501177,DRR389681,2019-10-15,2019-10-14,2019-10-15,Japan:Okayama,JBDDAAF-19-0183,others,ILLUMINA,HiSeq X Five,WGS,2019,10,15,,,False,Clade C1
143,SAMD00501213,DRR389717,2019-06-05,2019-06-04,2019-06-05,Japan:Okayama,JBDDAAF-19-0011,venous blood,ILLUMINA,HiSeq X Five,WGS,2019,06,05,,,False,Clade C1
144,SAMD00501492,DRR389996,2019-04-24,2019-04-23,2019-04-24,Japan:Hiroshima,JBDEACE-19-0018,urine from catheter,ILLUMINA,HiSeq X Five,WGS,2019,04,24,,,False,Clade C1
145,SAMD00501518,DRR390022,2020-04-27,2020-04-26,2020-04-27,Japan:Hiroshima,JBDEACE-19-0195,bile,ILLUMINA,HiSeq X Five,WGS,2020,04,27,,,False,Clade C1
146,SAMD00499196,DRR387700,2020-08-08,2020-08-07,2020-08-08,Japan:Kanagawa,JBBEABG-19-0022,pharyngeal mucus,ILLUMINA,HiSeq X Five,WGS,2020,08,08,,,False,Clade C1
147,SAMD00501664,DRR390168,2019-10-01,2019-09-30,2019-10-01,Japan:Tokushima,JBDGAAD-19-0040,vaginal secretion,ILLUMINA,HiSeq X Five,WGS,2019,10,01,,,False,Clade C1
148,SAMD00499223,DRR387727,2020-04-28,2020-04-27,2020-04-28,Japan:Kanagawa,JBBEADA-19-0153,sputum,ILLUMINA,HiSeq X Five,WGS,2020,04,28,,,False,Clade C1
149,SAMD00499322,DRR387826,2019-04-01,2019-03-31,2019-04-01,Japan:Kanagawa,JBBEAFB-19-0044,stool,ILLUMINA,HiSeq X Five,WGS,2019,04,01,,,False,Clade C1
150,SAMD00501770,DRR390274,2019-07-10,2019-07-09,2019-07-10,Japan:Ehime,JBDIABB-19-0045,sputum,ILLUMINA,HiSeq X Five,WGS,2019,07,10,,,False,Clade A
