,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
1159,SAMN16054346,SRR12584072,2019-10-15,2019-10-14,2019-10-15,USA:WA,PNUSAE059262,stool,ILLUMINA,Illumina MiSeq,WGS,2019,10,15,WA,10.0,False,Clade C0
1160,SAMN16077083,SRR12605555,2018-06-20,2018-06-19,2018-06-20,USA,,rectum,ILLUMINA,Illumina NovaSeq 6000,WGS,2018,06,20,,,False,Clade B
1161,SAMN16129762,SRR12744077,2019-06,2019-05-31,2019-06-30,Canada:Saskatchewan,ECOL-19-VL-ON-SK-0021,Urine (Canis lupus familiaris),ILLUMINA,Illumina MiSeq,WGS,2019,06,,,,False,Clade B
1162,SAMN16387627,SRR12811594,2017-02-07,2017-02-07,2017-02-07,"USA: Durham, NC",S7_CRE7,abdominal fluid JP drain,PACBIO_SMRT,Sequel,WGS,2017,02,07,NC,4.0,True,Clade C1
1163,SAMN12715618,SRR10085550,2019-03-14,2019-03-14,2019-03-14,USA:FL,ECOL-19-VL-NY-GA-0004,urine (Canis lupus familaris),ILLUMINA,Illumina MiSeq,WGS,2019,03,14,FL,4.0,False,Clade A
1164,SAMN12722857,SRR10094023,2019-01-09,2019-01-09,2019-01-09,USA:KY,ECOL-19-VL-LA-KY-0002,feces (Canis lupus familaris),ILLUMINA,Illumina MiSeq,WGS,2019,01,09,KY,4.0,False,Clade C1
1165,SAMN12731265,SRR10100555,2007-01-29,2007-01-29,2007-01-29,Canada: Quebec,,urine,ILLUMINA,Illumina MiSeq,WGS,2007,01,29,,,False,Clade C1
1166,SAMN12731309,SRR10106478,2008-01-05,2008-01-05,2008-01-05,Canada: Manitoba,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,05,,,False,Clade C1
1167,SAMN12731302,SRR10106481,2007-11-02,2007-11-02,2007-11-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2007,11,02,,,False,Clade C1
1168,SAMN12731322,SRR10112527,2008-01-04,2008-01-04,2008-01-04,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,04,,,False,Clade C1
1169,SAMN12731313,SRR10112530,2007-11-11,2007-11-11,2007-11-11,Canada: Saskatchewan,,blood,ILLUMINA,Illumina MiSeq,WGS,2007,11,11,,,False,Clade C1
1170,SAMN12731310,SRR10112533,2007-08-22,2007-08-21,2007-08-22,Canada: Nova Scotia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2007,08,22,,,False,Clade C1
1171,SAMN12731331,SRR10115842,2008-01-04,2008-01-04,2008-01-04,Canada: Alberta,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,04,,,False,Clade C1
1172,SAMN12731329,SRR10115846,2008-04-02,2008-04-01,2008-04-02,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,04,02,,,False,Clade C1
1173,SAMN12731338,SRR10115848,2008-03-05,2008-03-05,2008-03-05,Canada: Saskatchewan,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,03,05,,,False,Clade C1
1174,SAMN12731330,SRR10115850,2008-01-29,2008-01-29,2008-01-29,Canada: British Columbia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2008,01,29,,,False,Clade C1
1175,SAMN12731350,SRR10124963,2008-05-02,2008-05-01,2008-05-02,Canada: Saskatchewan,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,05,02,,,False,Clade C1
1176,SAMN12731358,SRR10137678,2008-09-03,2008-09-02,2008-09-03,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,09,03,,,False,Clade C1
