name,date
SAMN19227895,2021-05
SAMN19904578,2021-06
SAMN20550623,2021-01
SAMN20550988,2021-05
SAMN20550515,2021-02
SAMN20550558,2021-02
SAMN20550908,2021-05
SAMN20550471,2020-10
SAMN20550419,2021-05
SAMN20550646,2021-05
SAMN20550974,2020-12
SAMN20550573,2021-01
SAMN20550422,2021-05
SAMN20551396,2020-11
SAMN20550709,2021-05
SAMN20551002,2021-02
SAMN20550476,2021-03
SAMN20550721,2021-02
SAMN20550724,2021-05
SAMN20550576,2021-05
SAMN20555489,2021-05
SAMN20555818,2021-05
SAMN20603209,2019-11
SAMN20603060,2019-09
SAMN20603215,2019-11
SAMN20606630,2019-01
SAMN20606682,2021-07
SAMN20606693,2021-07
SAMN20550402,2021-05
SAMN20550156,2021-04
SAMN20550142,2021-02
SAMN20748624,2017-06
SAMN22605382,2021-10
SAMN22605046,2021-10
SAMN22605383,2021-10
SAMN22605039,2021-10
SAMN22657140,2021-10
SAMN23706775,2021-11
SAMN24118990,2021-12
SAMN24337839,2020-09-14
SAMN24337787,2019-02-22
SAMN24337831,2020-12-02
SAMN24337823,2021-07-13
SAMN24337822,2021-05-07
SAMN24337815,2021-01-19
SAMN24337813,2021-02-26
SAMN24337812,2018-03-02
SAMN24337791,2020-12-18
SAMN24337863,2020-12-18
SAMN24337861,2020-12-20
SAMN24337857,2021-01-18
SAMN24337789,2020-07-10
SAMN24337851,2019-11-05
SAMN24337847,2021-07-13
SAMN24337842,2020-02-10
SAMN24337840,2021-02-23
SAMN24337796,2017-05-26
SAMN24337903,2021-04-11
SAMN24337897,2019-10-08
SAMN24337793,2021-01-02
SAMN24369411,2021-12
SAMN24386976,2021-12
SAMN24386975,2021-12
SAMN24424375,2021-12
SAMN24424381,2021-12
SAMN25045942,2022-01
SAMN25941505,2022-02
SAMN25941584,2022-02
SAMN25941576,2022-02
SAMN26137392,2022-02
SAMN26234303,2022-02
SAMN26234491,2022-02
SAMN26234301,2022-02
SAMN26263347,2022-02
SAMN26263373,2022-02
SAMN26263371,2022-02
SAMN26366888,2022-02
SAMN26420004,2022-02
SAMN26420005,2022-02
SAMN26440662,2022-02
SAMN26508560,2022-02
SAMN26508752,2022-03
SAMN26679723,2022-03
SAMN26679923,2022-03
SAMN26679917,2022-03
SAMN26798186,2022-03
SAMN26855372,2022-03
SAMN26855463,2022-03
SAMN26855449,2022-03
SAMN26855438,2022-03
SAMN26977442,2022-03
SAMN26977469,2022-03
SAMN27023981,2022-03
SAMN27024007,2022-03
SAMN27182112,2022-03
SAMN27182111,2022-03
SAMN27255970,2022-03
SAMN27278852,2022-03
SAMN27488922,2022-03
SAMN27488928,2022-03
SAMN27488931,2022-04
SAMN27589144,2022-04
SAMN27642623,2022-04
SAMN27642631,2022-04
SAMN27642639,2022-04
SAMN27642634,2022-04
SAMN27642695,2022-04
SAMN27642636,2022-04
SAMN27740092,2022-04
SAMN27959623,2022-04
SAMN27959629,2022-04
SAMN27992936,2022-04
SAMN28014568,2022-04
SAMN28014557,2022-04
SAMN28017504,2022-04
SAMN28017549,2022-04
SAMN28017546,2022-04
SAMN28093661,2022-04
SAMN28156133,2022-05
SAMN28156147,2022-04
SAMN28156114,2022-04
SAMN28156122,2022-04
SAMN28194748,2022-05
SAMN28194745,2022-05
SAMN28553423,2022-05
SAMN28565442,2022-05
SAMN28577698,2022-05
SAMN28606428,2022-05
SAMN28662141,2022-05
SAMN28662178,2022-05
SAMN28662196,2022-05
SAMN28815163,2022-05
SAMN28843304,2022-05
SAMN28861562,2022-05
SAMN28885507,2018-05-30
SAMN28885445,2015-03-28
SAMN28968095,2022-06
SAMN29012297,2022-06
SAMN29012394,2022-06
SAMN29096718,2022-06
SAMN29096723,2022-06
SAMN29151368,2022-06
SAMN29151346,2022-06
SAMN29151338,2022-06
SAMN29358475,2022-05
SAMN29378504,2022-06
SAMN29420796,2022-06
SAMN29542787,2022-06
SAMN29542819,2022-06
SAMN29542838,2022-06
SAMN29603382,2022-06
SAMN29603722,2022-07
SAMN29603716,2022-07
SAMN29603742,2022-06
SAMN29661930,2022-07
SAMN29756192,2022-07
SAMN29782861,2022-07
SAMN29782918,2022-07
SAMN29786901,2022-07
SAMN29851809,2022-07
SAMN29851662,2022-07
SAMN29921983,2022-07
SAMN03658779,2015-04
SAMN22214596,2021-09
SAMN23571008,2021-11
SAMN29982377,2021-10-25
SAMN29982375,2021-10-01
SAMN29982407,2021-12-29
SAMN29982405,2021-12-27
SAMN29982398,2021-12-15
SAMN29982393,2021-12-10
SAMN29982370,2021-06-29
SAMN29982379,2021-11-19
SAMN29982378,2021-12-05
SAMN30000506,2022-07
SAMN30077599,2021-07-23
SAMN30077597,2021-03-25
SAMN30077591,2020-12-23
SAMN30173681,2022-08
SAMN30173688,2022-07
SAMN30393365,2022-08
SAMN30413788,2022-08
SAMN30480510,2022-08
SAMN30499785,2022-08
SAMN30524726,2022-08
SAMN30547996,2022-08
SAMN16710603,2017-11-17
SAMN30661296,2022-08
SAMN30728203,2022-09
SAMN30797892,2022-09
SAMN30899994,2022-09
SAMN30911362,2022-09
SAMN30914839,2022-09
SAMN30964280,2022-09
SAMN31186953,2022-09
SAMN31289007,2022-10
SAMN31220957,2022-10
SAMN31208972,2022-09
SAMN31220946,2022-10
SAMN31289023,2022-10
SAMN31118754,2022-09
SAMN31220940,2022-10
SAMN31141260,2022-09
SAMN31141330,2022-09
SAMN31258995,2022-10
SAMN31118755,2022-09
SAMN31096053,2022-09
SAMN31390572,2022-10
SAMN31390603,2022-10
SAMN31419959,2022-10
SAMN31560779,2022-10
SAMN31576504,2022-10
SAMN31592357,2022-10
SAMN31715006,2022-11
SAMN31743123,2022-11
SAMN31789276,2022-11
SAMN31789558,2022-11
SAMN31801490,2022-11
SAMN31805382,2022-11
SAMN31865234,2022-11
SAMN31865227,2022-11
SAMN31865243,2022-11
SAMN31881554,2022-11
SAMN31896425,2022-11
SAMN32025472,2022-11
SAMN32025473,2022-11
SAMN32115837,2022-11
SAMN32132029,2022-12
SAMN32132034,2022-11
SAMN32154158,2022-12
SAMN32154160,2022-12
SAMN32298712,2022-12
SAMN32298750,2022-12
SAMN32298757,2022-12
SAMN32298749,2022-12
SAMN32298755,2022-12
SAMN32298758,2022-12
SAMN32352599,2022-12
SAMEA110466680,2015-04-27
SAMEA110466722,2011-08-30
SAMEA7160176,2020-01-29
SAMEA7160175,2020-01-29
SAMEA8563074,2018-08-09
SAMEA8900253,2007-12-22
SAMEA8900254,2007-12-23
SAMEA8900262,2008-01-15
SAMEA8900271,2008-02-25
SAMEA8900274,2008-03-01
SAMEA8900278,2008-03-11
SAMEA8900280,2008-03-14
SAMEA8900281,2008-03-15
SAMEA8900284,2008-03-18
SAMEA8900285,2008-03-20
SAMEA8900291,2008-03-26
SAMEA8900295,2008-03-30
SAMEA8900298,2008-03-31
SAMEA8900302,2008-04-02
SAMEA8900303,2008-04-02
SAMEA8900305,2008-04-03
SAMEA8900901,2008-05-27
SAMEA8899747,2007-12-18
SAMEA8899767,2008-04-20
SAMEA8899904,2008-03-17
SAMEA8899902,2008-03-27
SAMEA8899986,2008-02-05
SAMEA8900511,2009-01-28
SAMEA8900330,2008-04-15
SAMEA8900334,2008-04-15
SAMEA8900336,2008-04-18
SAMEA8900348,2008-04-30
SAMEA8900356,2008-05-07
SAMEA8900364,2008-05-13
SAMEA8900365,2008-05-13
SAMEA8900366,2008-05-13
SAMEA8900386,2008-06-02
SAMEA8900430,2008-07-08
SAMEA8900438,2008-07-24
SAMEA8900453,2008-09-08
SAMEA8900459,2008-09-26
SAMEA8900461,2008-10-04
SAMEA8900463,2008-10-15
SAMEA8900598,2009-05-25
SAMEA8900611,2009-06-15
SAMEA8900612,2009-06-16
SAMEA8900638,2009-08-22
SAMEA8900639,2009-08-22
SAMEA8900665,2009-10-05
SAMEA8900677,2009-10-16
SAMEA8900678,2009-10-16
SAMEA8900192,2009-08-24
SAMEA8899848,2009-10-13
SAMEA8899834,2009-07-10
SAMEA8899863,2010-03-13
SAMEA8900070,2009-07-15
SAMEA8900076,2009-09-09
SAMEA8900081,2009-12-17
SAMEA8900086,2010-01-25
SAMEA8900960,2009-11-26
SAMEA8900963,2010-01-26
SAMEA8900706,2010-01-01
SAMEA8900710,2010-01-13
SAMEA8900732,2010-04-12
SAMEA8900741,2010-04-19
SAMEA8900742,2010-04-20
SAMEA8901082,2010-04-29
SAMEA8899912,2008-10-13
SAMEA8899917,2009-02-06
SAMEA8899923,2009-03-24
SAMEA8900117,2010-05-04
SAMEA8899865,2010-03-24
SAMEA8899871,2010-04-28
SAMEA8899873,2010-05-24
SAMEA8901043,2010-08-06
SAMEA8899887,2010-07-13
SAMEA8900994,2010-06-25
SAMEA8900857,2010-10-11
SAMEA8903669,2008-02-13
SAMEA8903695,2008-04-25
SAMEA8903764,2008-10-15
SAMEA8903786,2009-02-12
SAMEA8903792,2009-02-23
SAMEA8903794,2009-03-17
SAMEA8903809,2010-05-06
SAMEA8903855,2010-10-20
SAMEA8903860,2011-01-12
SAMEA8903865,2011-01-26
SAMEA8562856,2014-12-02
SAMN12662486,2019-08
SAMEA8900240,2007-12-03
SAMEA8900249,2007-12-12
SAMEA8900244,2007-12-06
SAMEA8900245,2007-12-07
SAMEA8900246,2007-12-08
SAMEA8900248,2007-12-08
SAMEA8900255,2007-12-24
SAMEA8900256,2008-01-01
SAMEA8900264,2008-01-19
SAMEA8900265,2008-01-26
SAMEA8900266,2008-01-26
SAMEA8900272,2008-02-27
SAMEA8900290,2008-03-25
SAMEA8900287,2008-03-22
SAMEA8900288,2008-03-24
SAMEA8900292,2008-03-28
SAMEA8900294,2008-03-29
SAMEA8900296,2008-03-31
SAMEA8900301,2008-04-02
SAMEA8900313,2008-04-06
SAMEA8900888,2008-03-07
SAMEA8900894,2008-05-16
SAMEA8900908,2008-06-11
SAMEA8900909,2008-07-15
SAMEA8899745,2007-12-13
SAMEA8899749,2008-01-07
SAMEA8899765,2008-04-06
SAMEA8899899,2008-03-19
SAMEA8899988,2008-02-19
SAMEA8900013,2008-04-28
SAMEA8900332,2008-04-15
SAMEA8900333,2008-04-15
SAMEA8900338,2008-04-20
SAMEA8900344,2008-04-26
SAMEA8900355,2008-05-07
SAMEA8900361,2008-05-12
SAMEA8901055,2008-05-19
SAMEA8900380,2008-05-27
SAMEA8900393,2008-06-10
SAMEA8900401,2008-06-14
SAMEA8900402,2008-06-15
SAMEA8900385,2008-05-31
SAMEA8900387,2008-06-02
SAMEA8900431,2008-07-08
SAMEA8900447,2008-08-19
SAMEA8900455,2008-09-16
SAMEA8900460,2008-10-02
SAMEA8900474,2008-11-05
SAMEA8900493,2008-12-16
SAMEA8900502,2009-01-10
SAMEA8900504,2009-01-13
SAMEA8900174,2009-02-08
SAMEA8900926,2009-02-04
SAMEA8900033,2008-10-21
SAMEA8900037,2008-11-21
SAMEA8900010,2009-02-03
SAMEA8900538,2009-03-22
SAMEA8900582,2009-05-05
SAMEA8900592,2009-05-19
SAMEA8900617,2009-06-25
SAMEA8900637,2009-08-20
SAMEA8900640,2009-08-24
SAMEA8900663,2009-09-26
SAMEA8900658,2009-09-16
SAMEA8900661,2009-09-22
SAMEA8900691,2009-11-18
SAMEA8899831,2009-07-07
SAMEA8899846,2009-10-07
SAMEA8899850,2009-10-20
SAMEA8899852,2009-11-17
SAMEA8900087,2010-02-10
SAMEA8900947,2009-10-09
SAMEA8900956,2009-11-21
SAMEA8900971,2010-03-02
SAMEA8901078,2010-04-18
SAMEA8900740,2010-04-19
SAMEA8900743,2010-04-20
SAMEA8900772,2010-05-19
SAMEA8900791,2010-06-11
