sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN06434487,SRR5280288,2016-03-15,2016-03-15,2016-03-15,"USA:Bloomington, IN",K12 MG1655,lab evolved,ILLUMINA,Illumina HiSeq 2500,WGS,2016,03,15,IN,5.0,False
SAMN07191184,SRR5660059,2017-01-09,2017-01-09,2017-01-09,USA:houston,6288,60 min (rif),ILLUMINA,Illumina MiSeq,WGS,2017,01,09,TX,6.0,False
SAMN07191186,SRR5660061,2017-03-02,2017-03-02,2017-03-02,USA:houston,5604,60 min (strep),ILLUMINA,Illumina MiSeq,WGS,2017,03,02,TX,6.0,False
SAMN07191188,SRR5660063,2017-03-02,2017-03-02,2017-03-02,USA:houston,5604,60 min (tet),ILLUMINA,Illumina MiSeq,WGS,2017,03,02,TX,6.0,False
SAMN07191194,SRR5660066,2017-01-09,2017-01-09,2017-01-09,USA:houston,SMR23247,0 min,ILLUMINA,Illumina MiSeq,WGS,2017,01,09,TX,6.0,False
SAMN07191189,SRR5660071,2017-03-02,2017-03-02,2017-03-02,USA:houston,5604,60 min (tet rif),ILLUMINA,Illumina MiSeq,WGS,2017,03,02,TX,6.0,False
SAMN07191173,SRR5660074,2016-12-17,2016-12-17,2016-12-17,USA:houston,5604,0 min,ILLUMINA,Illumina MiSeq,WGS,2016,12,17,TX,6.0,False
SAMN07191174,SRR5660075,2016-12-17,2016-12-17,2016-12-17,USA:houston,5604,60 min,ILLUMINA,Illumina MiSeq,WGS,2016,12,17,TX,6.0,False
SAMN07191176,SRR5660077,2016-12-18,2016-12-18,2016-12-18,USA:houston,5604,60 min,ILLUMINA,Illumina MiSeq,WGS,2016,12,18,TX,6.0,False
SAMN07191171,SRR5660080,2017-01-08,2017-01-08,2017-01-08,USA:houston,5663,60 min,ILLUMINA,Illumina MiSeq,WGS,2017,01,08,TX,6.0,False
SAMN07191178,SRR5660083,2017-01-09,2017-01-09,2017-01-09,USA:houston,5604,60 min,ILLUMINA,Illumina MiSeq,WGS,2017,01,09,TX,6.0,False
SAMN06645969,SRR5680928,2015-06-01,2015-05-31,2015-06-01,USA:NC,NC_STEC236,insect,ILLUMINA,Illumina MiSeq,WGS,2015,06,01,NC,4.0,False
SAMN10487645,SRR8359525,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487624,SRR8359527,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487642,SRR8359529,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487639,SRR8359534,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487611,SRR8359539,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487617,SRR8359541,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487616,SRR8359542,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487644,SRR8359548,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487652,SRR8359550,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487651,SRR8359551,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487623,SRR8359555,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
