sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN06650355,SRR5395746,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650353,SRR5395748,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650349,SRR5395752,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650348,SRR5395753,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650347,SRR5395754,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650342,SRR5395759,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650340,SRR5395761,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650338,SRR5395763,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650326,SRR5395775,2015-07-30,2015-07-29,2015-07-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,07,30,,,False
SAMN06650325,SRR5395776,2015-07-30,2015-07-29,2015-07-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,07,30,,,False
SAMN06650324,SRR5395777,2015-07-30,2015-07-29,2015-07-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,07,30,,,False
