name,date
SAMEA4644816,2014-03
SAMD00127153,2018-02-07
SAMD00126364,2016-07-29
SAMD00126371,2016-09-12
SAMD00126376,2016-10-07
SAMD00126377,2016-10-21
SAMD00126378,2016-10-21
SAMD00126383,2016-10-21
SAMD00126392,2016-12-15
SAMD00126395,2017-01-06
SAMD00126398,2017-01-12
SAMD00126400,2017-01-12
SAMD00126401,2017-01-12
SAMD00126404,2017-01-17
SAMD00126415,2017-02-03
SAMD00126416,2017-02-07
SAMD00126419,2017-02-07
SAMD00126429,2017-03-17
SAMD00126432,2017-03-17
SAMD00126446,2017-03-28
SAMD00126469,2016-05-24
SAMD00126491,2016-10-24
SAMD00126502,2016-12-09
SAMD00126508,2016-12-15
SAMD00126515,2017-01-12
SAMD00126519,2017-01-17
SAMD00126522,2017-01-17
SAMD00126529,2017-01-24
SAMD00126548,2017-02-16
SAMD00126553,2017-02-24
SAMD00126566,2017-03-17
SAMD00126574,2017-03-24
SAMD00126595,2017-04-05
SAMD00126598,2017-04-07
SAMD00126359,2016-06-06
SAMD00126362,2016-06-15
SAMD00126379,2016-10-21
SAMD00126381,2016-10-21
SAMD00126382,2016-10-21
SAMD00126384,2016-10-24
SAMD00126386,2016-11-28
SAMD00126388,2016-12-15
SAMD00126389,2016-12-15
SAMD00126393,2016-12-15
SAMD00126396,2017-01-06
SAMD00126402,2017-01-12
SAMD00126406,2017-01-24
SAMD00126409,2017-01-31
SAMD00126412,2017-01-31
SAMD00126423,2017-02-24
SAMD00126424,2017-03-14
SAMD00126425,2017-03-14
SAMD00126442,2017-03-28
SAMD00126444,2017-03-28
SAMD00126451,2017-03-31
SAMD00126453,2017-04-05
SAMD00126455,2017-04-05
SAMD00126489,2016-10-21
SAMD00126490,2016-10-24
SAMD00126501,2016-12-09
SAMD00126514,2017-01-12
SAMD00126523,2017-01-17
SAMD00126526,2017-01-24
SAMD00126535,2017-01-27
SAMD00126543,2017-02-07
SAMD00126564,2017-03-14
SAMD00126584,2017-03-31
SAMD00126585,2017-03-31
SAMD00126586,2017-03-31
SAMD00126594,2017-04-05
SAMD00126600,2017-04-11
SAMD00126602,2017-04-18
SAMD00126603,2017-04-21
SAMD00186875,2015-12-01
SAMD00186877,2015-12-01
SAMD00186878,2015-12-01
SAMD00186879,2015-12-01
SAMD00186881,2015-12-01
SAMD00186886,2015-12-01
SAMD00186887,2015-12-01
SAMD00186854,2015-12-01
SAMD00186866,2015-12-01
SAMD00186873,2015-12-01
SAMD00186874,2015-12-01
SAMD00186882,2015-12-01
SAMD00186855,2015-12-01
SAMD00186872,2015-12-01
SAMD00186880,2015-12-01
SAMD00186883,2015-12-01
SAMD00194427,2018-08-06
SAMD00186885,2015-12-01
SAMD00194451,2017-07-10
SAMD00186850,2015-12-01
SAMD00194505,2017-07-10
SAMD00194580,2018-08-06
SAMD00195999,2018-05-15
SAMD00196013,2018-07-12
SAMD00196014,2018-07-13
SAMD00194413,2018-02-13
SAMD00194415,2018-02-13
SAMD00194467,2018-02-13
SAMD00194489,2019-02-05
SAMD00194520,2018-02-13
SAMD00194545,2019-02-05
SAMD00220458,2017-08-30
SAMD00220499,2017-08-30
SAMD00220557,2017-10-25
SAMD00220575,2017-10-25
SAMN20550776,2021-05
SAMN20602271,2018-08-12
SAMN20602254,2020-08-07
SAMN20603035,2019-07
SAMD00492887,2021-12-08
SAMD00492891,2021-12-08
SAMD00492907,2021-12-08
SAMD00497410,2020-07-02
SAMD00497532,2019-06-24
SAMD00497690,2019-09-30
SAMD00498034,2019-06-28
SAMD00498037,2019-08-14
SAMD00492886,2021-12-08
SAMD00492888,2021-12-08
SAMD00499304,2020-06-11
SAMD00499317,2019-04-04
SAMD00499637,2019-05-27
SAMD00499644,2019-07-03
SAMD00499761,2020-05-03
SAMN21549873,2017-10
SAMD00497468,2019-08-13
SAMD00497531,2019-06-21
SAMD00497850,2020-03-05
SAMD00500687,2019-09-25
SAMD00500779,2020-02-21
SAMD00500906,2019-07-01
SAMD00500934,2019-04-02
SAMD00498575,2019-09-02
SAMD00498605,2020-01-24
SAMD00498622,2019-09-25
SAMD00498623,2019-10-02
SAMD00501082,2019-05-13
SAMD00501130,2019-06-13
SAMD00501140,2019-07-21
SAMD00501177,2019-10-15
SAMD00501213,2019-06-05
SAMD00501492,2019-04-24
SAMD00501518,2020-04-27
SAMD00499196,2020-08-08
SAMD00501664,2019-10-01
SAMD00499223,2020-04-28
SAMD00499322,2019-04-01
SAMD00501770,2019-07-10
SAMD00499401,2019-07-07
SAMD00499651,2019-09-10
SAMD00499750,2019-08-27
SAMD00499760,2020-04-25
SAMD00502229,2019-09-13
SAMD00499811,2019-06-08
SAMD00499749,2019-08-27
SAMD00500225,2019-10-25
SAMD00500249,2020-02-13
SAMD00500264,2020-06-10
SAMD00500288,2019-04-01
SAMD00519111,2021-07-07
SAMD00500684,2019-09-09
SAMD00501081,2019-04-11
SAMD00501085,2019-07-16
SAMD00501138,2019-07-02
SAMD00501143,2019-08-02
SAMD00501160,2019-08-16
SAMD00501209,2019-05-26
SAMD00501469,2019-11-01
SAMD00501470,2019-11-20
SAMD00501482,2019-05-08
SAMD00501658,2019-07-26
SAMD00501866,2019-12-23
SAMD00501879,2020-04-07
SAMD00502319,2019-09-17
SAMD00509847,2021-12-07
SAMN23844342,2018-05-14
SAMN24019347,2014-07-21
SAMN24019426,2016-05-19
SAMN24019687,2015-04-01
SAMN24019641,2015-12-09
SAMN24019466,2015-11-02
SAMN24019677,2016-05-25
SAMN24018777,2016-05-31
SAMN24020322,2015-11-02
SAMN24021018,2016-04-30
SAMN24021185,2016-03-15
SAMN24020706,2016-05-25
SAMN24467889,2019-11
SAMN26208689,2020-06-16
SAMN26510928,2021-07-21
SAMN26650773,2021-10-10
SAMEA111503471,2020-08-04
SAMEA111505331,2020-08-20
SAMN27150438,2017-10-16
SAMN27150448,2018-02-06
SAMEA111505568,2020-11-17
SAMEA111505573,2020-11-17
SAMEA111505596,2020-11-18
SAMEA111505608,2020-11-19
SAMEA111505650,2020-11-24
SAMEA111505674,2020-11-28
SAMEA111505990,2020-03-02
SAMEA111505995,2020-03-02
SAMEA111506000,2020-03-04
SAMEA111506060,2020-08-14
SAMEA111506202,2020-03-06
SAMEA111506201,2020-03-06
SAMEA111506215,2020-11-25
SAMEA111506358,2020-12-04
SAMEA111503411,2020-03-03
SAMEA111503485,2020-08-08
SAMEA111505329,2020-08-17
SAMEA111505326,2020-08-16
SAMEA111505342,2020-08-25
SAMEA111505418,2020-10-25
SAMEA111505546,2020-11-06
SAMEA111505580,2020-11-17
SAMEA111505594,2020-11-18
SAMEA111505609,2020-11-19
SAMEA111505613,2020-11-20
SAMEA111505630,2020-11-23
SAMEA111505633,2020-11-23
SAMEA111505646,2020-11-24
SAMEA111505667,2020-11-27
SAMEA111505675,2020-11-28
SAMEA111505629,2020-11-23
SAMEA111505987,2020-02-29
SAMEA111505991,2020-03-02
SAMEA111505994,2020-03-02
SAMEA111506048,2020-08-04
SAMN27404404,2018-06-19
SAMN27404321,2017-09-18
SAMN27404401,2017-04-24
SAMN27404386,2016-06-13
SAMN27404383,2018-08-16
SAMN27404381,2019-09-11
SAMN27404380,2018-07-06
SAMN27404376,2019-10-12
SAMN27404372,2019-09-02
SAMN27404318,2019-09-21
SAMN27404370,2018-10-28
SAMN27404367,2018-10-05
SAMN27404364,2019-08-15
SAMN27404460,2019-11-28
SAMN27404459,2019-06-01
SAMN27404457,2018-03-27
SAMN27404456,2017-02-21
SAMN27404326,2016-10-02
SAMN27404449,2019-04-05
SAMN27404441,2016-10-11
SAMN27404411,2018-06-13
SAMN27404408,2018-12-01
SAMN27404436,2019-06-09
SAMEA111506289,2020-11-22
SAMN27404417,2019-08-25
SAMN27404415,2017-07-25
SAMN27404350,2018-10-20
SAMEA111506295,2020-11-26
SAMN27404347,2018-04-16
SAMN27404346,2018-04-16
SAMN27404345,2017-04-17
SAMN27404336,2017-05-05
SAMN27404333,2019-12-09
SAMN27404312,2019-03-27
SAMN27404409,2019-12-23
SAMN27404400,2019-01-13
SAMN27404448,2016-07-21
SAMN27404442,2017-01-01
SAMN27404439,2019-02-07
SAMN27404391,2019-09-02
SAMN27404389,2019-05-10
SAMN27404319,2019-12-26
SAMN27404379,2018-07-06
SAMN27404369,2019-02-15
SAMN27404352,2017-06-05
SAMN27404344,2018-11-24
SAMN27404315,2019-05-02
SAMN27404432,2018-03-31
SAMN27404427,2019-03-10
SAMEA111504399,2020-04-29
SAMEA111504509,2020-04-07
SAMEA111504811,2020-03-01
SAMEA111504885,2020-03-11
SAMEA111504937,2020-03-18
SAMEA111504972,2020-11-09
SAMN27482941,2021-03-03
SAMEA111505089,2020-11-03
SAMEA111505100,2020-11-08
SAMEA111505105,2020-11-11
SAMEA111504383,2020-03-01
SAMEA111504398,2020-04-28
SAMEA111504640,2020-05-20
SAMEA111504705,2020-05-13
SAMEA111504718,2020-05-18
SAMEA111504719,2020-05-18
SAMEA111504979,2020-11-10
SAMEA111504988,2020-11-12
SAMEA111505071,2020-04-28
SAMEA111505437,2020-11-03
SAMEA111505097,2020-11-06
SAMEA111505108,2021-03-01
SAMEA111503757,2020-07-01
SAMEA111503752,2020-06-16
SAMEA111503828,2020-11-12
SAMEA111504002,2020-02-21
SAMEA111503578,2020-08-10
SAMEA111503738,2020-03-14
SAMEA111503742,2020-05-05
SAMEA111504082,2020-03-03
SAMEA111504132,2020-04-06
SAMEA111504137,2020-04-07
SAMN27568170,2019-09-06
SAMEA6658672,2016-07-18
SAMN27683586,2017-04-15
SAMN27684628,2017-04-15
SAMN27652059,2017-04-15
SAMN27512421,2017-04-15
SAMN27740538,2022-04
SAMN27773152,2017-04-15
SAMN27997711,2021-08
SAMN28095646,2018-07-13
SAMN28095648,2017-04-26
SAMEA112330365,2022-01-01
SAMEA112330381,2022-01-01
SAMEA112330382,2022-01-01
